WKT,ID,NATURE,TOPONYME
"MULTIPOINT ((5.85313327335833 45.2120336639825))",CONSPONC0000002209667069,Antenne,
"MULTIPOINT ((5.62171299014328 44.9715995975258))",CONSPONC0000002209679450,Croix,
"MULTIPOINT ((5.6719004986473 44.8969297859922))",CONSPONC0000002209679453,Croix,
"MULTIPOINT ((5.55829323318275 45.044789749861))",CONSPONC0000002209679507,Transformateur,
"MULTIPOINT ((5.61410230205787 44.8290404185321))",CONSPONC0000002209679655,Croix,
"MULTIPOINT ((5.34675903951024 45.0581224877225))",CONSPONC0000000296732342,Croix,
"MULTIPOINT ((5.95490516273819 45.455263638804))",CONSPONC0000000255985368,Croix,
"MULTIPOINT ((5.69819800232353 45.1547413840453))",CONSPONC0000002002706368,Antenne,
"MULTIPOINT ((5.73059681267836 44.8486319851411))",CONSPONC0000002201743038,Antenne,
"MULTIPOINT ((5.68130109760863 45.363068158135))",CONSPONC0000002202269777,Transformateur,
"MULTIPOINT ((5.80609615671548 45.3326425986014))",CONSPONC0000002202269809,Transformateur,
"MULTIPOINT ((5.63480442934296 45.2907332820898))",CONSPONC0000002216063148,Cheminée,
"MULTIPOINT ((5.41826960763204 45.1687965980547))",CONSPONC0000002202822236,Croix,
"MULTIPOINT ((5.56428953329335 45.1856020586971))",CONSPONC0000002202822373,Croix,
"MULTIPOINT ((5.64793320989371 45.194130435793))",CONSPONC0000002002706328,Antenne,
"MULTIPOINT ((5.63920328968061 45.2933837242419))",CONSPONC0000002202823370,Croix,
"MULTIPOINT ((5.7245592437829 45.3884498186222))",CONSPONC0000002202892883,Croix,
"MULTIPOINT ((5.73557899912849 45.3859837256642))",CONSPONC0000002202892884,Croix,
"MULTIPOINT ((5.75422935289442 45.4332951757416))",CONSPONC0000002203183444,Croix,
"MULTIPOINT ((5.80412345844997 45.1223697685369))",CONSPONC0000000007523015,Antenne,
"MULTIPOINT ((5.92608028829707 44.7785430214277))",CONSPONC0000002218421037,Clocher,
"MULTIPOINT ((5.67250523675854 45.2329681356173))",CONSPONC0000002218421038,Antenne,
"MULTIPOINT ((5.6725355417937 45.2330151605327))",CONSPONC0000002218421039,Antenne,
