WKT,ID,NATURE,TOPONYME
"MULTIPOLYGON (((5.56271738635987 45.2641626733597,5.5627111813293 45.2644338625108,5.56283527907237 45.264550519127,5.56264613697629 45.2645075303656,5.56238275373488 45.2645842195086,5.56223610318169 45.2647699459556,5.56232624923999 45.2652958316936,5.56267063518791 45.2654073141435,5.56296966480444 45.2653113883823,5.56305763905369 45.2651784780105,5.56368151291451 45.2654458708115,5.5640103422961 45.2653580929286,5.5641478866994 45.2651330059455,5.56405749105008 45.2649631117796,5.56354742850488 45.2646836073964,5.56399167259929 45.2645965788199,5.56412899060217 45.2643981153609,5.56400221926911 45.2641775967235,5.56314507408842 45.2639211068929,5.56271738635987 45.2641626733597)))",PAIHABIT0000000007543952,Lieu-dit habité,Guillaudière
"MULTIPOLYGON (((5.87001593697279 45.2213103800622,5.87001362206437 45.2212653886112,5.86994996026249 45.2212670245978,5.86995227511966 45.2213120160501,5.87001593697279 45.2213103800622)))",PAIHABIT0000000007544572,Lieu-dit habité,Côtes Belles
"MULTIPOLYGON (((5.78866917715918 45.2202510573453,5.78982034752647 45.2176761217027,5.7899210932205 45.217447457584,5.79003416494127 45.2172103765518,5.790149441038 45.2170173885977,5.79027654796932 45.2168060852047,5.79203387064688 45.2122860669161,5.79201716481578 45.2122324255113,5.79195468923202 45.2120537905779,5.79190273819743 45.2118307442212,5.79190256559772 45.2116235219901,5.79190726851414 45.2114882566617,5.79113490203626 45.2115661292627,5.79110944082903 45.2115667656826,5.79067890853241 45.2115982488859,5.79023437206468 45.2116300803507,5.78980428875634 45.2116705587813,5.78944796589687 45.2116821634655,5.78912933997344 45.2116829146088,5.78883572551396 45.2116740303441,5.78856757242932 45.2116645094731,5.78814485293634 45.2116228080892,5.78797719624762 45.2115837469734,5.78767961166887 45.2115208998168,5.78740876202038 45.2114573845195,5.7873437603034 45.2114319776087,5.78717388764754 45.2113740499886,5.78699165880328 45.2112984108571,5.78684634904673 45.2112218500401,5.78664791521645 45.2111024666543,5.78657624786639 45.2109691077397,5.78643098447899 45.2108934462489,5.78632112657449 45.2107610401959,5.78447498062307 45.2103683136446,5.783495289873 45.2101738010516,5.78208988073665 45.2099024926786,5.78158129642719 45.2107458671933,5.78151340952887 45.2108926161505,5.78149281056215 45.2109652077164,5.78149722399157 45.211028166425,5.78152799579316 45.2111084881673,5.78168170465985 45.2113281024227,5.78169847320896 45.2114087729698,5.78167787429244 45.211481364578,5.7816227174252 45.2116277964906,5.78147193879514 45.2120550133379,5.7813027854322 45.2124205199502,5.78117827336775 45.2126587771325,5.78105990787864 45.2128157928068,5.78090507042016 45.212982726437,5.78061684587952 45.2132610990491,5.7802918153181 45.2135683176555,5.78012648444664 45.2137805604172,5.77997478034663 45.2140104832918,5.78018022882648 45.2140405067766,5.78028823994701 45.2141360245284,5.78033660383322 45.2142879871192,5.78031914132145 45.2144235690207,5.7802116623926 45.2145433724399,5.78087552539301 45.2149728282145,5.78132957566071 45.2153102001797,5.78168830150984 45.2155508369884,5.78191404352557 45.2157064893996,5.78249448024387 45.2160217878605,5.78339105211361 45.2165157078715,5.78362990974274 45.2166530105153,5.78381300470008 45.2167457526213,5.78400970112746 45.2168300465208,5.78417958710594 45.2168879790206,5.78451587050742 45.2169850096141,5.78467212722123 45.2170252615615,5.78480209639028 45.2170751786528,5.78488290549681 45.2171362323442,5.78617497752781 45.2182482535512,5.7866049705495 45.2186132354855,5.78804604244953 45.2198737856969,5.78823182289556 45.2199943845687,5.78837625777958 45.2200529464856,5.7884447923586 45.2201233141579,5.78866917715918 45.2202510573453)))",PAIHABIT0000000007544594,Quartier,les Béalières
"MULTIPOLYGON (((5.79318872767401 45.2246088135528,5.79318647457379 45.2245638204997,5.79312280678661 45.2245654127119,5.79312505983556 45.2246104057663,5.79318872767401 45.2246088135528)))",PAIHABIT0000000007544599,Lieu-dit habité,la Détourbe
"MULTIPOLYGON (((5.50469283252426 45.2340052436656,5.50469081171379 45.2339602450062,5.50462712539576 45.2339616728252,5.50462914615491 45.2340066714858,5.50469283252426 45.2340052436656)))",PAIHABIT0000000007544666,Lieu-dit habité,le Mollard
"MULTIPOLYGON (((5.49482268499733 45.2240218849321,5.49482067250765 45.2239768861895,5.49475699733144 45.2239783083807,5.49475900976983 45.2240233071245,5.49482268499733 45.2240218849321)))",PAIHABIT0000000007544673,Lieu-dit habité,Micandière
"MULTIPOLYGON (((5.6596569120229 45.215466884799,5.65968398184563 45.2152860533873,5.65970933540621 45.2150692255051,5.65973640486622 45.2148883940961,5.65868100044857 45.2144873840439,5.65856864559974 45.2136810211096,5.65864514533625 45.2130395375787,5.65835399888971 45.2128410561012,5.65786347898468 45.2127383135385,5.65738569247727 45.2126352658562,5.65703275244465 45.2126914134768,5.65674846993537 45.2126369137998,5.65665293348505 45.2125310748313,5.65648493784375 45.2124828172927,5.65634493350223 45.2124870486458,5.65634236275013 45.2124330538925,5.65606958238884 45.2125665736452,5.65588900473617 45.212950160729,5.65583988738553 45.2132035897484,5.65578867054225 45.2134129230252,5.65588715077676 45.2135538290779,5.65579385191271 45.2137092063475,5.65589484987843 45.2136887857415,5.65581428268613 45.2138438602329,5.6558495754365 45.213996179307,5.65590901623452 45.2141470231432,5.65597780486333 45.2142264710138,5.65602289709333 45.2145578424688,5.65603059666175 45.2146927991523,5.65607306509824 45.2147548543372,5.65608589394843 45.2149707729231,5.6566115965029 45.2150357485603,5.65715933570811 45.2150281228203,5.6573502749091 45.2150226785959,5.65722438344029 45.2152698268866,5.65768169655562 45.2160932084619,5.65775001852132 45.2161627562342,5.65755151730727 45.2162503658994,5.65759052906167 45.2162665552723,5.65766360971019 45.2164359934253,5.65786990639388 45.2166725339649,5.65808813578434 45.2169187004323,5.6583664643413 45.2169012643549,5.6585358544305 45.217165710306,5.66038852290892 45.2166152671024,5.65991906816443 45.2153777551371,5.65972602576942 45.2153391080731,5.6596569120229 45.215466884799)))",PAIHABIT0000000007544823,Quartier,Hameau du Château
"MULTIPOLYGON (((5.85376243635013 45.1933333741061,5.8537601356992 45.1932883825936,5.85369650532253 45.1932900093092,5.85369880592225 45.1933350008231,5.85376243635013 45.1933333741061)))",PAIHABIT0000000007544964,Lieu-dit habité,l'Urinet
"MULTIPOLYGON (((5.71522648725411 45.1998260615183,5.7165301229047 45.1999042650469,5.71692847227782 45.1999459259485,5.71781836037085 45.1999278701556,5.71781606657163 45.2000900975668,5.71949596679966 45.1996518694613,5.72185741211195 45.1989222102147,5.72201769720113 45.1986290958753,5.72260081622803 45.1985662252469,5.72300021036962 45.1984465679483,5.72384123183708 45.1986548942412,5.72372796055859 45.1988928071239,5.72506660671011 45.1989051877768,5.7252620189744 45.199827501468,5.72523621884177 45.2006561099519,5.725230840902 45.2009895950407,5.7242531242595 45.2022892102402,5.72471795351635 45.2040572563928,5.72560610080984 45.2052545737594,5.73056261079054 45.2025738447923,5.73169527994715 45.2021515175018,5.73309426310177 45.2019109598838,5.73366687942722 45.2018933370603,5.73346718167414 45.201953185005,5.73352118235402 45.2020149300713,5.73361112118802 45.2020298462495,5.73371295120948 45.2020273529615,5.73394946842176 45.201938673212,5.73443923277722 45.2016086401642,5.73472978831875 45.2013744815591,5.73453810594846 45.2011557385046,5.7343871621869 45.2009621252518,5.73419063829666 45.200670522525,5.73404899223507 45.2004325341711,5.73385951886979 45.2000506623719,5.73366921052901 45.1996516925642,5.73348629944214 45.1991435253546,5.73335871127669 45.1987240993995,5.7331417241298 45.1978843123706,5.73305183798468 45.1976621741961,5.73292376942302 45.1974409706963,5.73274224056106 45.1971949479371,5.73244435340392 45.1968887059091,5.73224124550727 45.1966963671659,5.7318008553634 45.1963683843637,5.73114807259946 45.195892433537,5.73017862865255 45.1952467355195,5.72891966616702 45.1944387277159,5.72864373384635 45.1942941120374,5.72804628815076 45.1941150083482,5.727656696773 45.1939911869886,5.72714036551147 45.1938812720938,5.7258654567659 45.1936322136109,5.72534996727846 45.1935393882014,5.72438570130559 45.1933890413699,5.7239869089756 45.19331138077,5.72328144565361 45.1932421015565,5.72222195986228 45.1932030745955,5.72038451811203 45.1931235359237,5.71986464895285 45.193175845642,5.7193925729631 45.1931630210296,5.71907927038903 45.1932445309536,5.71876596690019 45.1933260400001,5.71844296159799 45.1934438224911,5.71810551706476 45.1935529460796,5.71779440151765 45.1936794466502,5.71752273816116 45.1938049859189,5.71728798187598 45.1939296261327,5.71701631394111 45.1940812918293,5.71673757305198 45.1942970965292,5.71610452996528 45.1949828086044,5.71580025754651 45.1954334793783,5.71559512875404 45.1958267795344,5.71548962503247 45.1961987360196,5.71544425504921 45.1964971536094,5.71544096751546 45.1968486046913,5.71546230054199 45.1972084664549,5.71558740681802 45.1977892401001,5.71566195300684 45.1979856361882,5.71562092062709 45.1983470150805,5.71553944393766 45.1988985776685,5.71539305446177 45.1994255914513,5.71522648725411 45.1998260615183)))",PAIHABIT0000000007545007,Quartier,Saint-Laurent
"MULTIPOLYGON (((5.67055716478691 45.1988619700738,5.67057245794745 45.1988886322894,5.67112517142988 45.1983492637988,5.6712557251158 45.1981749625292,5.67161727269333 45.1978482811997,5.67196354588914 45.197468809041,5.67237216142886 45.1970608153779,5.67274270555503 45.1968690550463,5.67269785051919 45.1969701326916,5.67297289577722 45.1966734465437,5.67306693732012 45.196535153666,5.67324578281358 45.1963317645939,5.67357947232087 45.1961688128248,5.67371126352767 45.1960206059468,5.67402191535252 45.1956960361927,5.67400836847727 45.1956792429091,5.67455730390927 45.1952750870599,5.67506981756311 45.1949087394813,5.67583747520506 45.1943362662714,5.67628640011494 45.193946210774,5.67601310923829 45.1938536593728,5.67555961098711 45.1937230826248,5.67517576817625 45.1936899377614,5.67487797494772 45.1936177914101,5.67484693494727 45.1935284416543,5.67411228138481 45.1933802704062,5.67398129591755 45.1935185482626,5.67327205590286 45.1933688618646,5.67297898749983 45.1933686721583,5.67268292260436 45.1933325160539,5.67240986683986 45.1934309484749,5.67233511104414 45.1932534521667,5.67201643064119 45.1930376489144,5.67192523031243 45.1929956860901,5.67160285248502 45.1929421383172,5.67149747694171 45.1926572623042,5.67130405075847 45.1926357640498,5.67136510116789 45.1925802470912,5.67114749411884 45.1925593272288,5.67070560615861 45.1926176495142,5.67036421727935 45.1926726650652,5.66962340409314 45.1928480471458,5.66927689106013 45.1927959708494,5.66889531330984 45.1930231200404,5.6686511488945 45.1931929270156,5.66825782508581 45.1936275692161,5.6681175820337 45.1938390366564,5.66804222198648 45.1940750802673,5.66806738951469 45.1942816932707,5.66794454274137 45.1945639183762,5.66774842701879 45.1949127614196,5.66739613707611 45.1951932611646,5.66737625575709 45.1952838294607,5.66719267885854 45.1954152470913,5.66735766468217 45.1954013949039,5.66721655360085 45.1955948631958,5.66723023830756 45.1958278777928,5.66711587141343 45.1960477349472,5.66691111885418 45.1962427232462,5.66661358051861 45.1965759682947,5.66658483943193 45.1967478319926,5.66640553837837 45.1969422113595,5.66617206342888 45.1972829343427,5.66611229246472 45.197365445695,5.66599447881691 45.1975133093061,5.66616286755861 45.1975705514444,5.66668631092969 45.1975913840389,5.66706417190901 45.1975255989113,5.66736011499859 45.1973455493725,5.66937247417721 45.1975650283018,5.66955745029881 45.1976759248321,5.66972717774328 45.1977610586404,5.66979939123766 45.1978854625046,5.66987028918221 45.1980089968601,5.6700702996832 45.1983808039955,5.67026133232734 45.1985915583426,5.67045275397921 45.1988104115127,5.67055716478691 45.1988619700738)))",PAIHABIT0000000007545025,Quartier,la Poyat
