c2c;BDTOPO
556671;PAIOROGR0000000075589932
556670;PAIOROGR0000000075589952
550104;PAIOROGR0000002009067754
550099;PAIOROGR0000000075590355
550094;PAIOROGR0000000007456652
550089;PAIOROGR0000002009067751
549798;PAIOROGR0000000075590774
542775;PAIOROGR0000000006685761
517288;PAIOROGR0000000007456427
514273;PAIOROGR0000000007456449
498776;PAIOROGR0000000007454023
492788;PAIOROGR0000000012527610
492772;PAIOROGR0000000012527611
486757;PAIOROGR0000000007456321
484335;PAIOROGR0000000007454894
467969;PAIOROGR0000000007456269
453643;PAIOROGR0000000075591315
443482;PAIOROGR0000000006685996
436021;PAIOROGR0000000007456119
427638;PAIOROGR0000000007455919
427322;PAIOROGR0000000075589857
407551;PAIOROGR0000000075591854
403615;PAIOROGR0000000007456581
403392;PAIOROGR0000000012528622
396764;PAIOROGR0000000007454029
396763;PAIOROGR0000000007454027
387526;PAIOROGR0000000007456632
366887;PAIOROGR0000000075589892
358321;PAIOROGR0000000075590018
358320;PAIOROGR0000000075590151
358045;PAIOROGR0000000007455205
358042;PAIOROGR0000000007455107
357484;PAIOROGR0000000075590831
347203;PAIOROGR0000000075590783
346821;PAIOROGR0000000007454790
346820;PAIOROGR0000000007454854
44204;PAIOROGR0000000007454367
343083;PAIOROGR0000000007454528
339457;PAIOROGR0000000007456130
298211;PAIOROGR0000000075589914
296593;PAIOROGR0000000075590564
295974;PAIOROGR0000000007454384
295157;PAIOROGR0000000075590095
292718;PAIOROGR0000000075590405
289911;PAIOROGR0000000075592233
289133;PAIOROGR0000000075591310
289132;PAIOROGR0000000075591312
287024;PAIOROGR0000000007456023
266181;PAIOROGR0000000012528574
266180;PAIOROGR0000000012528526
263522;PAIOROGR0000000012528392
261544;PAIOROGR0000000007455251
259168;PAIOROGR0000000075590081
258753;PAIOROGR0000000007455957
252589;PAIOROGR0000000012528461
249821;PAIOROGR0000000075591533
247482;PAIOROGR0000000006685400
247430;PAIOROGR0000000006686194
245027;PAIOROGR0000000007455106
239364;PAIOROGR0000000007453720
239362;PAIOROGR0000000012527695
237177;PAIOROGR0000000075592260
236649;PAIOROGR0000000007457422
234771;PAIOROGR0000000075590785
234769;PAIOROGR0000000075591065
234767;PAIOROGR0000000075591072
38533;PAIOROGR0000000075590211
233323;PAIOROGR0000000075590596
227910;PAIOROGR0000000075592363
227903;PAIOROGR0000000075591412
227404;PAIOROGR0000000075590609
225086;PAIOROGR0000000007453939
223810;PAIOROGR0000000007454457
219416;PAIOROGR0000000007454088
217056;PAIOROGR0000000007456173
216037;PAIOROGR0000000075590412
42538;PAIOROGR0000000075591556
209564;PAIOROGR0000000007456644
199645;PAIOROGR0000000007456234
198456;PAIOROGR0000000075592361
194267;PAIOROGR0000000075589842
192866;PAIOROGR0000000012527364
192723;PAIOROGR0000000007455517
191219;PAIOROGR0000000075590386
186100;PAIOROGR0000000007456874
179582;PAIOROGR0000000007455154
179581;PAIOROGR0000000007455157
179228;PAIOROGR0000000007456878
177107;PAIOROGR0000000075589927
177104;PAIOROGR0000000075589948
172975;PAIOROGR0000000007454675
172974;PAIOROGR0000000007454673
172854;PAIOROGR0000000007455815
171201;PAIOROGR0000000007456372
170593;PAIOROGR0000000006685426
169520;PAIOROGR0000000007456129
167629;PAIOROGR0000000075591339
160097;PAIOROGR0000000007457124
159489;PAIOROGR0000000006686490
156560;PAIOROGR0000000075591524
154838;PAIOROGR0000000007456716
153912;PAIOROGR0000000007454150
123026;PAIOROGR0000000075591652
117459;PAIOROGR0000000012528423
117124;PAIOROGR0000000007456363
116801;PAIOROGR0000000007455959
116197;PAIOROGR0000000075592019
115590;PAIOROGR0000000007456529
115498;PAIOROGR0000000007456059
112945;PAIOROGR0000000075590369
108979;PAIOROGR0000000012528263
107652;PAIOROGR0000000007456165
45125;PAIOROGR0000000007455047
45114;PAIOROGR0000000007454013
45105;PAIOROGR0000000012527278
45079;PAIOROGR0000000007454696
45060;PAIOROGR0000000007455070
45059;PAIOROGR0000000007454767
45027;PAIOROGR0000000007454630
45022;PAIOROGR0000000007454521
45007;PAIOROGR0000000012528660
45000;PAIOROGR0000000012527325
44981;PAIOROGR0000000012528642
44959;PAIOROGR0000000007454839
44948;PAIOROGR0000000007455067
44551;PAIOROGR0000000075589380
44543;PAIOROGR0000000012528541
44540;PAIOROGR0000000012528651
44537;PAIOROGR0000000012527204
44534;PAIOROGR0000000012528655
44532;PAIOROGR0000000007454810
44440;PAIOROGR0000000007454629
44370;PAIOROGR0000000007454518
44337;PAIOROGR0000000012528633
44291;PAIOROGR0000000012528640
44289;PAIOROGR0000000356380220
44278;PAIOROGR0000000007454590
44199;PAIOROGR0000000007454199
44192;PAIOROGR0000000012528554
44188;PAIOROGR0000000007454573
44096;PAIOROGR0000000007454829
44089;PAIOROGR0000000012527294
44036;PAIOROGR0000000007454900
44025;PAIOROGR0000000012527292
43957;PAIOROGR0000000007454690
43955;PAIOROGR0000000007454571
43951;PAIOROGR0000000012528546
43946;PAIOROGR0000000012527157
43920;PAIOROGR0000000012528646
43609;PAIOROGR0000000075590368
43500;PAIOROGR0000000075592203
43408;PAIOROGR0000000007457047
43373;PAIOROGR0000000075591992
43362;PAIOROGR0000000012527291
43012;PAIOROGR0000000007456654
42987;PAIOROGR0000000007456876
42979;PAIOROGR0000000007456537
42955;PAIOROGR0000000075589848
42950;PAIOROGR0000000007456442
42947;PAIOROGR0000000075590227
42734;PAIOROGR0000000007456564
42669;PAIOROGR0000000006686674
42635;PAIOROGR0000000007454979
42485;PAIOROGR0000000007456134
42258;PAIOROGR0000000075589847
42233;PAIOROGR0000000075589936
42079;PAIOROGR0000000006686462
41998;PAIOROGR0000000007454982
41950;PAIOROGR0000000007456418
41888;PAIOROGR0000000007454032
41887;PAIOROGR0000000007454028
41861;PAIOROGR0000000007454254
41847;PAIOROGR0000000012527359
41790;PAIOROGR0000000007456890
41783;PAIOROGR0000000353495466
41743;PAIOROGR0000000007457255
41557;PAIOROGR0000000075590388
41507;PAIOROGR0000000007456130
41505;PAIOROGR0000000075590772
41499;PAIOROGR0000000007455821
41497;PAIOROGR0000000007455809
41490;PAIOROGR0000000007455048
41448;PAIOROGR0000000075589965
41444;PAIOROGR0000000075589931
41431;PAIOROGR0000000075590778
41370;PAIOROGR0000000007456182
41352;PAIOROGR0000000075589838
41342;PAIOROGR0000000007456238
41336;PAIOROGR0000000335207445
41310;PAIOROGR0000000007456563
41302;PAIOROGR0000000075591307
41278;PAIOROGR0000000012528561
41254;PAIOROGR0000000007454031
41227;PAIOROGR0000000007455916
41189;PAIOROGR0000000075591979
41044;PAIOROGR0000000012527341
41027;PAIOROGR0000000012528471
41026;PAIOROGR0000000012528507
40989;PAIOROGR0000000012528410
40948;PAIOROGR0000000007454695
40793;PAIOROGR0000000012528631
40778;PAIOROGR0000000075589501
40718;PAIOROGR0000000012528560
40714;PAIOROGR0000000012528658
40702;PAIOROGR0000000012528555
40700;PAIOROGR0000000338607188
40696;PAIOROGR0000000012528653
40543;PAIOROGR0000000075590208
40484;PAIOROGR0000000075589920
40413;PAIOROGR0000000007456452
40379;PAIOROGR0000000075590353
40342;PAIOROGR0000000012527348
40285;PAIOROGR0000000075591370
40280;PAIOROGR0000000075589430
40275;PAIOROGR0000000007456864
40190;PAIOROGR0000000356600228
40188;PAIOROGR0000000075591359
40114;PAIOROGR0000000012528420
40090;PAIOROGR0000000007456446
40072;PAIOROGR0000000075592278
40070;PAIOROGR0000000075592290
40036;PAIOROGR0000000012527367
39954;PAIOROGR0000000012528510
39941;PAIOROGR0000000007454759
39940;PAIOROGR0000000012528598
39924;PAIOROGR0000000007454986
39776;PAIOROGR0000000075589758
39739;PAIOROGR0000000007455696
39586;PAIOROGR0000000012528551
39564;PAIOROGR0000000075590217
39542;PAIOROGR0000000007456009
39534;PAIOROGR0000000012528422
39533;PAIOROGR0000000075590773
39523;PAIOROGR0000000012528376
39522;PAIOROGR0000000075589839
39497;PAIOROGR0000000012528626
39496;PAIOROGR0000000075589928
39488;PAIOROGR0000000356380212
39477;PAIOROGR0000000007456144
39473;PAIOROGR0000000075592221
39462;PAIOROGR0000000007456034
39460;PAIOROGR0000000007455920
39439;PAIOROGR0000000075589709
39422;PAIOROGR0000000075589956
39404;PAIOROGR0000000007455922
39403;PAIOROGR0000000007456653
39397;PAIOROGR0000000007454760
39334;PAIOROGR0000000007456550
39263;PAIOROGR0000000007454754
39232;PAIOROGR0000000012528417
39221;PAIOROGR0000000012528426
39205;PAIOROGR0000000007455077
39123;PAIOROGR0000000007454694
39099;PAIOROGR0000000007454897
38597;PAIOROGR0000000075589949
580776;PAIOROGR0000000075590538
543735;PAIOROGR0000000075592242
522360;PAIOROGR0000000007454920
456854;PAIOROGR0000000007454343
455393;PAIOROGR0000000007455086
443819;PAIOROGR0000000075589590
347180;PAIHYDRO0000000007457958
338654;PAIOROGR0000000336608995
305150;PAIOROGR0000000012527740
300424;PAIOROGR0000000006685207
278432;PAIOROGR0000000006686006
259974;PAIOROGR0000000335207490
195462;PAIOROGR0000000007454911
180710;PAIOROGR0000000012527567
167974;PAIOROGR0000000007454217
103690;PAIOROGR0000000012527427
102968;PAIOROGR0000000075592178
102666;PAIOROGR0000000075589889
102595;PAIOROGR0000000007455263
102185;PAIOROGR0000000006684840
102059;PAIOROGR0000000075591522
1004101;PAIOROGR0000000006685370
43100;PAIHYDRO0000000356600207
42426;PAIOROGR0000000007455625
40390;PAIOROGR0000000006684867
39152;PAIOROGR0000000007455712
39085;PAIHYDRO0000000075594113
999593;PAIOROGR0000000007454461
923636;PAIOROGR0000000007457464
918680;PAIOROGR0000000337479119
889661;PAIOROGR0000000006685129
886232;PAIOROGR0000000007454852
879733;PAIOROGR0000000007455548
517567;PAIOROGR0000000006685019
417369;PAIOROGR0000000075591889
133168;PAIOROGR0000000007455791
38585;PAIOROGR0000000075590378
38578;PAIOROGR0000002009067753
38573;PAIOROGR0000000075589918
38541;PAIOROGR0000000075590400
38539;PAIOROGR0000000007456425
38531;PAIOROGR0000000075590087
38517;PAIOROGR0000000007454365
975858;PAIHYDRO0000000007458128
38511;PAIOROGR0000000007455075
38503;PAIOROGR0000000007455914
38486;PAIOROGR0000000007456325
38455;PAIOROGR0000000075590565
38447;PAIOROGR0000000075589850
38415;PAIOROGR0000000007455798
38413;PAIOROGR0000000075591079
38370;PAIOROGR0000000075589701
38368;PAIOROGR0000000012528512
38326;PAIOROGR0000000012528475
38311;PAIOROGR0000000075590149
38309;PAIOROGR0000000007456365
38306;PAIOROGR0000000007456131
38302;PAIOROGR0000000075591340
38274;PAIOROGR0000000012528509
38252;PAIOROGR0000002009067746
38240;PAIOROGR0000000007454633
38226;PAIOROGR0000000012528473
38218;PAIOROGR0000000007454585
38171;PAIOROGR0000000012527290
38093;PAIOROGR0000000075589972
38079;PAIOROGR0000000007453928
38046;PAIOROGR0000000075592012
38040;PAIOROGR0000000007454745
38031;PAIOROGR0000000075590201
38027;PAIOROGR0000000012528649
38025;PAIOROGR0000000012528625
38022;PAIOROGR0000000075590747
37994;PAIOROGR0000000007455801
37970;PAIOROGR0000000007456663
37958;PAIOROGR0000000007456012
37951;PAIOROGR0000000075589931
