WKT,ID,NATURE,TOPONYME
"MULTIPOINT ((6.24637694618987 45.1205987989976))",PAIOROGR0000000007455127,Sommet,Pic du Mas de la Grave
"MULTIPOINT ((6.22991691476242 45.1117121460699))",PAIOROGR0000000007455128,Col,Col des Trente Combes
"MULTIPOINT ((6.1817129643915 45.1199950395675))",PAIOROGR0000000007455129,Crête,Échine de Praouat
"MULTIPOINT ((5.9586764145714 45.1267403360077))",PAIOROGR0000000007455150,Pic,Pic de la Fare
"MULTIPOINT ((5.5411415023592 45.0839211549084))",PAIOROGR0000000007455527,Sommet,la Molière
"MULTIPOINT ((5.93079396919734 45.1309078712504))",PAIOROGR0000000007455152,Sommet,le Grand Van
"MULTIPOINT ((5.90263617972064 45.1258310980466))",PAIOROGR0000000007455165,Sommet,Croix de Chamrousse
"MULTIPOINT ((5.68340327577323 45.1402401219585))",PAIOROGR0000000007455183,Versant,Rochers de Comboire
"MULTIPOINT ((5.6515034131945 45.1386399796454))",PAIOROGR0000000007455185,Rochers,Rochers Roux
"MULTIPOINT ((5.62828082195011 45.1288517902684))",PAIOROGR0000000007455187,Escarpement,Grande Roche Saint-Michel
"MULTIPOINT ((5.47969661773136 45.1439064597448))",PAIOROGR0000000007455202,Col,Col de Romeyère
"MULTIPOINT ((5.42571728220964 45.1385812918096))",PAIOROGR0000000007455209,Sommet,la Lunette
"MULTIPOINT ((6.13377322687834 45.1049681614481))",PAIOROGR0000000007455220,Sommet,le Château Noir
"MULTIPOINT ((6.11587264596984 45.1097133754116))",PAIOROGR0000000007455221,Pic,Pic de l'Herpie
"MULTIPOINT ((6.11354244694256 45.0997510569359))",PAIOROGR0000000007455222,Crête,l'Herpie
"MULTIPOINT ((6.09023908633252 45.1003708996277))",PAIOROGR0000000007455225,Rochers,Rocher Tabeurle
"MULTIPOINT ((6.05933470739273 45.0997107209779))",PAIOROGR0000000007455231,Sommet,la Grande Sure
"MULTIPOINT ((5.91021709630911 45.1115668363359))",PAIOROGR0000000007455249,Rochers,Dent d'Alexandre
"MULTIPOINT ((5.55998519143471 45.1303856586434))",PAIOROGR0000000007455267,Col,Col de la Croix Perrin
"MULTIPOINT ((5.37939482180892 45.1237383111114))",PAIOROGR0000000007455290,Rochers,Rocher de l'Alevoux
"MULTIPOINT ((6.09435900304611 45.0862635659204))",PAIOROGR0000000007455302,Rochers,Rocher du Goulet
"MULTIPOINT ((5.97580470228352 45.0999975051638))",PAIOROGR0000000007455322,Sommet,Cime de Cornillon
"MULTIPOINT ((5.9593516572857 45.0903224827941))",PAIOROGR0000000007455323,Sommet,le Grand Galbert
"MULTIPOINT ((5.89398557772249 45.101535083783))",PAIOROGR0000000007455329,Sommet,Rocher de l'Homme
"MULTIPOINT ((5.65058595093242 45.0982694878398))",PAIOROGR0000000007455339,Escarpement,Rochers de Chabloz
"MULTIPOINT ((5.62338436898076 45.1092707227761))",PAIOROGR0000000007455342,Sommet,Grand Cheval
"MULTIPOINT ((5.49354953914478 45.1161468016177))",PAIOROGR0000000007455361,Escarpement,Rochers de Gonson
"MULTIPOINT ((5.44820740751876 45.1163562772725))",PAIOROGR0000000007455365,Col,Col du Mont Noir
"MULTIPOINT ((5.42243752286373 45.1189190231252))",PAIOROGR0000000007455374,Sommet,Serre du Page
"MULTIPOINT ((6.13437530033767 45.0731845484637))",PAIOROGR0000000007455393,Sommet,la Croix de Cassini
"MULTIPOINT ((6.07647994598291 45.0795564045221))",PAIOROGR0000000007455404,Rochers,Rocher du Grand Taillis
"MULTIPOINT ((6.06998723961221 45.0833767747242))",PAIOROGR0000000007455405,Rochers,Rocher des Outaris
"MULTIPOINT ((5.94684299413867 45.0847243820291))",PAIOROGR0000000007455419,Crête,Cime Chalvine
"MULTIPOINT ((5.86754500487728 45.0845870592631))",PAIOROGR0000000007455426,Rochers,Rocher du But
"MULTIPOINT ((5.64340399504173 45.0858616839764))",PAIOROGR0000000007455438,Escarpement,Rochers de la Bourgeoise
"MULTIPOINT ((5.61995894807102 45.0902045822491))",PAIOROGR0000000007455440,Pic,Pic Saint-Michel
"MULTIPOINT ((5.53744797481206 45.0913023025832))",PAIOROGR0000000007455449,Sommet,Sommet de Meillarot
"MULTIPOINT ((5.52484086701917 45.100172934994))",PAIOROGR0000000007455451,Gorge,Gorges du Méaudret
"MULTIPOINT ((5.50297092509107 45.0938134551631))",PAIOROGR0000000007455453,Sommet,Gros Martel
"MULTIPOINT ((5.3952652421059 45.0911556673162))",PAIOROGR0000000007455464,Sommet,Serre Grier
"MULTIPOINT ((5.37154218759421 45.0951824776643))",PAIOROGR0000000007455467,Sommet,Serre Cocu
"MULTIPOINT ((6.08651602765008 45.0689145441164))",PAIOROGR0000000007455485,Montagne,Montagne de l'Homme
"MULTIPOINT ((6.08608315733496 45.0662548400624))",PAIOROGR0000000007455490,Sommet,Signal de l'Homme
"MULTIPOINT ((6.0577103625713 45.0685980948903))",PAIOROGR0000000007455496,Rochers,Roche du Regardet
"MULTIPOINT ((5.94123797617502 45.0598215194515))",PAIOROGR0000000007455503,Col,Pas de l'Envious
"MULTIPOINT ((5.41885391587288 45.0806272587951))",PAIOROGR0000000007455542,Sommet,le Grand Serre
"MULTIPOINT ((5.42113900194821 45.0877112062715))",PAIOROGR0000000007455544,Sommet,Beauregard
"MULTIPOINT ((5.38637675216953 45.0768983308924))",PAIOROGR0000000007455550,Rochers,Rochers de Presles
"MULTIPOINT ((6.11272485297849 45.0423689442159))",PAIOROGR0000000007455565,Rochers,Rocher des Clos
"MULTIPOINT ((6.0591962538259 45.0486194247236))",PAIOROGR0000000007455577,Rochers,Rochers d'Armentier
"MULTIPOINT ((6.00809397522249 45.0460274364344))",PAIOROGR0000000007455583,Sommet,Prégentil
"MULTIPOINT ((5.60086256983605 45.0625795621109))",PAIOROGR0000000007455606,Sommet,Roc Cornafion
"MULTIPOINT ((5.49053839542198 45.0621364456779))",PAIOROGR0000000007455617,Rochers,Roche Rousse
"MULTIPOINT ((5.47210693834515 45.0616876679114))",PAIOROGR0000000007455622,Crête,Crête de Chalimont
"MULTIPOINT ((5.41664571627221 45.0726317997544))",PAIOROGR0000000007455626,Escarpement,Rochers de Presles
"MULTIPOINT ((5.35424909762027 45.075138897825))",PAIOROGR0000000007455635,Col,Col de Toutes Aures
"MULTIPOINT ((6.08770266375131 45.0367438643298))",PAIOROGR0000000007455648,Gorge,Gorges de l'Infernet
"MULTIPOINT ((5.95348324947584 45.0363259816563))",PAIOROGR0000000007455669,Sommet,Grain de Chalvet
"MULTIPOINT ((5.94004374141793 45.038792820472))",PAIOROGR0000000007455673,Sommet,la Pyramide
"MULTIPOINT ((5.53152669656106 45.05501269738))",PAIOROGR0000000007455703,Crête,Crête du Peuil
"MULTIPOINT ((5.35751617889975 45.0542921487453))",PAIOROGR0000000007455719,Sommet,Mont Baret
"MULTIPOINT ((6.14202471647311 45.0198158797585))",PAIOROGR0000000007455724,Sommet,la Grande Aiguille
"MULTIPOINT ((6.10810601186106 45.0137445528584))",PAIOROGR0000000007455726,Crête,le Fioc
"MULTIPOINT ((6.07055632407245 45.010964839398))",PAIOROGR0000000007455732,Rochers,Rocher du Fayol
"MULTIPOINT ((5.62243028932864 45.0360590138106))",PAIOROGR0000000007455775,Rochers,Bec de l'Échaillon ou Pal de Fer
"MULTIPOINT ((5.61758714267392 45.0288650776968))",PAIOROGR0000000007455778,Rochers,Rocher de l'Éperrimont
"MULTIPOINT ((5.59347444358335 45.0400921837483))",PAIOROGR0000000007455779,Escarpement,Rochers du Ranc des Agnelons
"MULTIPOINT ((6.25365444161725 44.9951019584692))",PAIOROGR0000000007455812,Pic,Pic de la Grave
"MULTIPOINT ((6.20406299539824 44.9926938416637))",PAIOROGR0000000007455823,Sommet,le Jandri
"MULTIPOINT ((5.58437126434735 45.0163670077548))",PAIOROGR0000000007455894,Pic,les Aiguilles
"MULTIPOINT ((5.57314964953092 45.0176585172149))",PAIOROGR0000000007455895,Rochers,Rochers des Jaux
"MULTIPOINT ((5.57147887164739 45.0179502756766))",PAIOROGR0000000007455896,Sommet,la Cote 2000
"MULTIPOINT ((5.53610510956267 45.0215167719599))",PAIOROGR0000000007455902,Rochers,Rochers des Combeauvieux
"MULTIPOINT ((5.48374604329543 45.0228641683117))",PAIOROGR0000000007455906,Sommet,la Sambue
"MULTIPOINT ((6.31493245767358 44.9802165167188))",PAIOROGR0000000007455909,Pic,Pic Nord des Cavales
"MULTIPOINT ((6.31795262139402 44.9762000616842))",PAIOROGR0000000007455910,Col,Col du Clot des Cavales
"MULTIPOINT ((6.27015279263938 44.9742171109305))",PAIOROGR0000000007455924,Pic,Tête de la Gandolière
"MULTIPOINT ((6.04222847903813 44.992753517733))",PAIOROGR0000000007455949,Sommet,Aiguille du Midi
"MULTIPOINT ((6.01578934854372 44.9955540068876))",PAIOROGR0000000007455954,Sommet,Pic du Col d'Ornon
"MULTIPOINT ((5.94992076951189 44.9953101915251))",PAIOROGR0000000007455957,Col,Plancol
"MULTIPOINT ((6.23950882802616 44.9395577387014))",PAIOROGR0000000007456249,Vallée,Vallée du Vénéon
"MULTIPOINT ((6.32436087062771 44.9629011899601))",PAIOROGR0000000007456015,Pic,Pic Bourcet
"MULTIPOINT ((6.24374906920727 44.9700551008313))",PAIOROGR0000000007456028,Sommet,Massif du Soreiller
"MULTIPOINT ((6.22253264601953 44.9643543805065))",PAIOROGR0000000007456038,Pic,Aiguille du Plat de la Selle
"MULTIPOINT ((6.08713580082073 44.9674056213953))",PAIOROGR0000000007456053,Sommet,Aiguille de Venosc
"MULTIPOINT ((6.03121416588058 44.979758561299))",PAIOROGR0000000007456057,Sommet,le Rochail
"MULTIPOINT ((6.0325564525266 44.975310504852))",PAIOROGR0000000007456061,Sommet,Pointe de Malhaubert
"MULTIPOINT ((6.03143295236053 44.9721424776614))",PAIOROGR0000000007456062,Sommet,Pointe de Confolens
"MULTIPOINT ((6.02108214988746 44.9698490711465))",PAIOROGR0000000007456063,Sommet,le Neyrard
"MULTIPOINT ((5.9969101420889 44.9693553572507))",PAIOROGR0000000007456066,Sommet,Sommet des Clottous
"MULTIPOINT ((5.93415873417675 44.9815247179501))",PAIOROGR0000000007456070,Sommet,Grand Armet
"MULTIPOINT ((5.7245813666525 44.9919897988999))",PAIOROGR0000000007456088,Sommet,la Peyrouse
"MULTIPOINT ((5.72302085679113 44.9865549977649))",PAIOROGR0000000007456096,Montagne,Montagne du Conest
"MULTIPOINT ((6.28806043045224 44.9445522191838))",PAIOROGR0000000007456136,Sommet,Tête de la Maye
"MULTIPOINT ((6.26270177887293 44.9552535615538))",PAIOROGR0000000007456146,Pic,Tête du Rouget
"MULTIPOINT ((6.08143772640622 44.9545227960326))",PAIOROGR0000000007456182,Col,Col du Vallon
"MULTIPOINT ((5.59569834228247 44.9776105188117))",PAIOROGR0000000007456225,Crête,Crête de la Ferrière
"MULTIPOINT ((6.07586559371628 44.9370437009565))",PAIOROGR0000000007456271,Sommet,Pic du Clapier du Peyron
"MULTIPOINT ((6.07991808358884 44.9466140749471))",PAIOROGR0000000007456272,Sommet,Tête de la Muraillette
"MULTIPOINT ((6.04250507794512 44.9390848354913))",PAIOROGR0000000007456274,Sommet,Signal du Lauvitel
"MULTIPOINT ((5.9289237825788 44.9493155351313))",PAIOROGR0000000007456285,Sommet,Rocher du Lac
"MULTIPOINT ((6.15021779954986 44.9261931228217))",PAIOROGR0000000007456357,Pic,Tête de Lauranoure
"MULTIPOINT ((6.10632500954217 44.9303908548176))",PAIOROGR0000000007456362,Sommet,Roche de la Muzelle
"MULTIPOINT ((6.08818241631086 44.9328086438777))",PAIOROGR0000000007456365,Col,Col de la Muzelle
