WKT,ID,HAUTEUR
"MULTIPOINT ((5.62721233227164 45.2928939635871))",PYLONE__0000000024800306,22.9
"MULTIPOINT ((6.03937293127515 45.2795268455347))",PYLONE__0000000024800351,20.8
"MULTIPOINT ((6.02190109250382 45.2782343600944))",PYLONE__0000000024800464,0
"MULTIPOINT ((6.03101000151452 45.4094640421802))",PYLONE__0000000024800519,52
"MULTIPOINT ((5.93886684076259 45.2572503608393))",PYLONE__0000000024800579,21.5
"MULTIPOINT ((5.64176961522717 45.2594532640494))",PYLONE__0000000024800651,20
"MULTIPOINT ((5.62841946609883 45.1766021012714))",PYLONE__0000000024800741,23
"MULTIPOINT ((5.63636256977539 45.2097505933186))",PYLONE__0000000024800742,46.5
"MULTIPOINT ((6.02108312987926 45.2783078309076))",PYLONE__0000000024800844,0
"MULTIPOINT ((6.02598956855915 45.4397295478508))",PYLONE__0000000024800853,0
"MULTIPOINT ((5.6826783363276 45.1387692306779))",PYLONE__0000000024801000,0
"MULTIPOINT ((5.70673270661874 45.1046345856376))",PYLONE__0000000024801054,47.2
"MULTIPOINT ((5.70164702741955 44.9917257597765))",PYLONE__0000000024801056,28.6
"MULTIPOINT ((6.02038991487134 45.2783752219432))",PYLONE__0000000024801159,0
"MULTIPOINT ((5.75997810642385 45.0888298159464))",PYLONE__0000000024801216,0
"MULTIPOINT ((6.07535428392295 45.0387635051497))",PYLONE__0000000024801246,0
"MULTIPOINT ((6.00890975373914 45.3746966480532))",PYLONE__0000000024801248,0
"MULTIPOINT ((5.93757906803991 45.1080414790912))",PYLONE__0000000024801305,0
"MULTIPOINT ((6.02393282530852 45.2780667821591))",PYLONE__0000000024801321,0
"MULTIPOINT ((5.80421877409878 45.0141351554465))",PYLONE__0000000024801326,0
"MULTIPOINT ((5.91853690857768 45.2653321266337))",PYLONE__0000000024801355,21.5
"MULTIPOINT ((5.77074542518029 45.1815579413911))",PYLONE__0000000024801359,22.9
"MULTIPOINT ((5.94207768647442 45.1098203800546))",PYLONE__0000000024801458,0
"MULTIPOINT ((5.72772727057332 45.0954034908936))",PYLONE__0000000024801536,0
"MULTIPOINT ((5.63214709435207 45.1776142633672))",PYLONE__0000000024801551,0
