WKT,id,type,nom
"MULTIPOINT ((6.00469 44.98023))",917993,Faune,Cicindèle champêtre
"MULTIPOINT ((6.00604 44.98147))",917991,Faune,Grands planeurs
"MULTIPOINT ((6.00981 44.98203))",904053,Faune,Lagopède alpin
"MULTIPOINT ((6.0113 44.98096))",917996,Eau,Cascades
"MULTIPOINT ((6.01277 44.98106))",917999,Géologie,Barres de spilites
"MULTIPOINT ((6.01405 44.9809))",918005,Flore,Céraiste des Alpes
"MULTIPOINT ((6.01441 44.98055))",918001,Flore,Fleurs de rocailles
"MULTIPOINT ((6.01356 44.97983))",904059,Faune,Bouquetin des Alpes
"MULTIPOINT ((6.01451 44.98002))",918007,Flore,Linaigrette
"MULTIPOINT ((6.0145 44.97992))",918003,Lac,L’empreinte des glaciers
"MULTIPOINT ((5.95709 44.89828))",917230,Flore,Flore des éboulis
"MULTIPOINT ((5.96259 44.89404))",917226,Faune,Lézard vert et lézard des murailles
"MULTIPOINT ((5.96268 44.89617))",917220,Flore,Hêtraie et champignons
"MULTIPOINT ((5.96847 44.90015))",917222,Flore,Raisin d'ours et  fausse bruyère
"MULTIPOINT ((5.97117 44.90179))",917218,Géologie,Spilites
"MULTIPOINT ((5.98379 44.90061))",906140,Faune,Crave à bec rouge
"MULTIPOINT ((5.98656 44.90271))",904049,Flore,Pin cembro
"MULTIPOINT ((5.98889 44.90432))",906142,Flore,Venturon montagnard
"MULTIPOINT ((5.99275 44.90588))",906134,Faune,Vautours
"MULTIPOINT ((5.9951 44.90643))",906132,Flore,Eritriche nain
"MULTIPOINT ((6.00286 44.90857))",906136,Faune,Gypaète barbu
"MULTIPOINT ((6.00495 44.90902))",904000,Lac,Cirque du lac Gary
"MULTIPOINT ((6.07892 44.98892))",919162,Architecture,La chapelle de la Danchère
"MULTIPOINT ((6.06919 44.97339))",918343,Lac,Lac du Lauvitel
"MULTIPOINT ((6.06701 44.97432))",903538,Géologie,Digue naturelle
"MULTIPOINT ((6.06595 44.97397))",903518,Histoire,Chalets d'altitude
"MULTIPOINT ((6.01267 45.04151))",938928,Faune,Petit tortue
"MULTIPOINT ((6.01069 45.04275))",938934,Faune,Pic-noir
"MULTIPOINT ((6.01031 45.04645))",938930,Faune,Chamois
"MULTIPOINT ((6.00919 45.04713))",938932,Faune,Chouette chevêchette d'Europe
"MULTIPOINT ((6.00739 45.04648))",938926,Faune,Aigle royal
"MULTIPOINT ((6.09167 44.86859))",906118,Histoire,Le Désert-en-Valjouffrey
"MULTIPOINT ((6.09675 44.86965))",904018,Savoir-faire,Prairies de fauche
"MULTIPOINT ((6.10219 44.87394))",906121,Faune,Pouillot véloce
"MULTIPOINT ((6.1126 44.8774))",906115,Géologie,Vallée glaciaire
"MULTIPOINT ((6.11925 44.88004))",906127,Flore,Joubarbe à toile d'araignée
"MULTIPOINT ((6.12281 44.88137))",906125,Flore,Rhododendron
"MULTIPOINT ((6.12595 44.88266))",904024,Faune,Apollon
"MULTIPOINT ((6.12719 44.88324))",906123,Faune,Cincle plongeur
"MULTIPOINT ((6.13417 44.88419))",904028,Eau,Cascade de la Pisse
"MULTIPOINT ((6.13597 44.88375))",906106,Faune,Lièvre variable
"MULTIPOINT ((6.14625 44.87948))",906104,Faune,Tarin des aulnes
"MULTIPOINT ((6.14907 44.87769))",906099,Faune,Merle à plastron
"MULTIPOINT ((6.15235 44.87504))",906101,Faune,Renard roux
"MULTIPOINT ((6.15642 44.8734))",906097,Refuge,Cabane de Châtellerat
"MULTIPOINT ((6.17019 44.86517))",906113,Sommet,Pic de l'Olan
"MULTIPOINT ((6.17369 44.86458))",906110,Faune,Vespère de Savi
"MULTIPOINT ((6.1775 44.86483))",906108,Faune,Pipistrelle commune
"MULTIPOINT ((6.17853 44.86485))",904264,Refuge,Refuge de Font Turbat
"MULTIPOINT ((6.29507 44.9301))",922721,Histoire,"La Bérarde en Oisans..., Laurent Guétal"
"MULTIPOINT ((6.29671 44.9284))",903588,Flore,Trèfle saxatile
"MULTIPOINT ((6.29891 44.92646))",905717,Histoire,Prémices d'un Parc national en 1913
"MULTIPOINT ((6.30079 44.92428))",905720,Histoire,Extension et limites du premier « Parc national »
"MULTIPOINT ((6.30217 44.92211))",905723,Histoire,"Surveillance, connaissance et aménagement du Parc de la Bérarde"
"MULTIPOINT ((6.30162 44.92021))",905725,Histoire,Privilégier la nature
