WKT,geo_point_
"MULTILINESTRING ((6.03486379993216 45.097756508831,6.03512990044495 45.0976471009966))","(2:45.0977018049,6.03499685019)"
"MULTILINESTRING ((5.76599786120786 45.0858474969556,5.76710887992624 45.0854929495034))","(2:45.0856702232,5.76655337057)"
"MULTILINESTRING ((5.78793655836727 45.0855910534098,5.78886625120468 45.0850007704983))","(2:45.085295912,5.78840140479)"
"MULTILINESTRING ((5.78886625120468 45.0850007704983,5.79049340669679 45.0857896391302))","(2:45.0853952048,5.78967982895)"
"MULTILINESTRING ((5.64959002153604 45.3033638659192,5.65096128394847 45.3032040559336))","(2:45.3032839609,5.65027565274)"
"MULTILINESTRING ((5.59913931147422 45.3114606724524,5.60768824702552 45.3063244027763,5.61014721073717 45.3048396168061,5.6120093918545 45.3037587252112,5.61448552535802 45.3031885128066,5.62119677368177 45.2994720224265,5.62231289726301 45.2993233338047,5.62334561315228 45.2985413970822,5.6245607446336 45.2976018362407,5.62562005963292 45.2967839765974,5.62668529186607 45.2958126695531,5.62784852550332 45.2947902838064,5.62798832113652 45.2939499638134))","(2:45.303109868,5.61403808228)"
"MULTILINESTRING ((5.63003728372556 45.29503609499,5.63076363459681 45.2951838818169))","(2:45.2951099884,5.63040045916)"
"MULTILINESTRING ((5.66018519247289 45.3028065100453,5.66205234066427 45.3020000319396,5.66541476999268 45.301434163705,5.66712925390679 45.2999081628594,5.6681701668841 45.2993209586603,5.66911822355175 45.2982142042278,5.66988861127056 45.2974213269206,5.67071103068452 45.2962126940147,5.67095287730201 45.2955087682845))","(2:45.2999912412,5.66618602129)"
"MULTILINESTRING ((5.63076363459681 45.2951838818169,5.63151785864653 45.2953863381791))","(2:45.29528511,5.63114074662)"
"MULTILINESTRING ((5.64015405408356 45.3066134635869,5.64073819538416 45.3086552175429,5.64236822647418 45.3095950690086))","(2:45.3083346861,5.64096620892)"
"MULTILINESTRING ((5.9814538157865 45.425295934074,5.98144535072263 45.4261244304237))","(2:45.4257101822,5.98144958325)"
"MULTILINESTRING ((5.98181727494875 45.4316870881141,5.98163741802315 45.4309309551102))","(2:45.4313090216,5.98172734649)"
"MULTILINESTRING ((5.9657891577357 45.4070290469729,5.9657609072804 45.4067958178986))","(2:45.4069124324,5.96577503251)"
"MULTILINESTRING ((5.98163741802315 45.4309309551102,5.98163686490843 45.4309299375137,5.9816393153879 45.4302102919661))","(2:45.4305706937,5.98163808862)"
"MULTILINESTRING ((5.98397610079053 45.4374520592509,5.98417429201865 45.4383497673634))","(2:45.4379009133,5.9840751964)"
"MULTILINESTRING ((5.97502236103066 45.420569602098,5.97785797753794 45.4253936654397,5.978035933258 45.4257103714645))","(2:45.4231383315,5.97653202709)"
"MULTILINESTRING ((5.99554093543594 45.4281708509497,5.99510643616909 45.4275323196565))","(2:45.4278515853,5.9953236858)"
"MULTILINESTRING ((5.98589566599498 45.4438861201042,5.98322792203234 45.4444148534046))","(2:45.4441504868,5.98456179401)"
"MULTILINESTRING ((5.98502538206878 45.4078321382595,5.98644789304577 45.4073959660752))","(2:45.4076140522,5.98573663756)"
"MULTILINESTRING ((6.00818774070588 45.4604067637705,6.00932078523477 45.4605464797908))","(2:45.4604766218,6.00875426297)"
"MULTILINESTRING ((5.97028329925955 45.4742910272258,5.97066445426938 45.475026106526))","(2:45.4746585669,5.97047387676)"
"MULTILINESTRING ((5.96821286554845 45.4885786480744,5.96748523040769 45.4880079227507))","(2:45.4882932854,5.96784904798)"
"MULTILINESTRING ((5.96892892815444 45.4745780801618,5.9685681948258 45.475198963115))","(2:45.4748885216,5.96874856149)"
"MULTILINESTRING ((5.97095546140911 45.4666830687216,5.96864442124836 45.4666893961508))","(2:45.4666862324,5.96979994133)"
"MULTILINESTRING ((5.98479569729191 45.4736914545666,5.98389746608646 45.4736039077025))","(2:45.4736476811,5.98434658169)"
"MULTILINESTRING ((5.96748523040769 45.4880079227507,5.96682781674596 45.4877040145104))","(2:45.4878559686,5.96715652358)"
"MULTILINESTRING ((5.9828370960245 45.4825375743856,5.98411215698185 45.4821491629485))","(2:45.4823433687,5.9834746265)"
"MULTILINESTRING ((6.10756557804734 45.4330145820102,6.10788321459342 45.4328545445143))","(2:45.4329345633,6.10772439632)"
"MULTILINESTRING ((6.10873843511342 45.4309522785766,6.1119391641538 45.4296821681797,6.12007426431417 45.4291183563658))","(2:45.4296725108,6.11432389301)"
"MULTILINESTRING ((6.09469367046052 45.4258632563209,6.09600264331924 45.4274497916986))","(2:45.426656524,6.09534815689)"
"MULTILINESTRING ((6.09699279095168 45.4211265002706,6.0933407240471 45.4207244224556))","(2:45.4209254614,6.0951667575)"
"MULTILINESTRING ((6.09699279095168 45.4211265002706,6.09710632917688 45.4217078564359))","(2:45.4214171784,6.09704956006)"
"MULTILINESTRING ((6.09044010301831 45.4140011520712,6.09092675127781 45.4140117906247))","(2:45.4140064713,6.09068342715)"
"MULTILINESTRING ((6.09044010301831 45.4140011520712,6.09152177274529 45.4162656593737,6.09158392452767 45.4164729027903))","(2:45.415231499,6.09102633131)"
"MULTILINESTRING ((6.09272934297438 45.4140051350835,6.09376395644614 45.4132117391511))","(2:45.4136084371,6.09324664971)"
"MULTILINESTRING ((6.09272934297438 45.4140051350835,6.0928672183032 45.4141158636333))","(2:45.4140604994,6.09279828064)"
"MULTILINESTRING ((5.96521386130678 45.4027747423379,5.96448577355835 45.4028189501097))","(2:45.4027968462,5.96484981743)"
"MULTILINESTRING ((5.96557168558477 45.4061993141422,5.96516176794958 45.4062922919179))","(2:45.406245803,5.96536672677)"
"MULTILINESTRING ((6.0251216181868 45.4290027804029,6.02522789361245 45.4290461065877))","(2:45.4290244435,6.0251747559)"
"MULTILINESTRING ((6.01688954544469 45.4256377752948,6.01558362382084 45.4239922242006))","(2:45.4248149997,6.01623658463)"
"MULTILINESTRING ((6.03110103247134 45.4338566644048,6.03135801696011 45.4329411582142))","(2:45.4333989113,6.03122952472)"
"MULTILINESTRING ((6.03064508218784 45.4335839289925,6.03090865347286 45.433661479084))","(2:45.433622704,6.03077686783)"
"MULTILINESTRING ((6.0102204705581 45.4298698573251,6.01066569032153 45.4300150950985))","(2:45.4299424762,6.01044308044)"
"MULTILINESTRING ((6.01386001996495 45.4375849069589,6.01415366131436 45.4377376962542))","(2:45.4376613016,6.01400684064)"
"MULTILINESTRING ((6.01105694568792 45.4260918934549,6.01115902418865 45.4267837918535))","(2:45.4264378427,6.01110798494)"
"MULTILINESTRING ((6.01970517773518 45.4142015239958,6.02120222845248 45.4148153634198,6.02151705780815 45.415340873214,6.02193365729163 45.4160307024874,6.02319174494335 45.4171923262796,6.02342503286743 45.4172241867454))","(2:45.415618863,6.02163005218)"
"MULTILINESTRING ((6.02997196127087 45.4318862792219,6.03153479234771 45.432246579883))","(2:45.4320664296,6.03075337681)"
"MULTILINESTRING ((6.03431869721089 45.4305708974535,6.03217906352973 45.4318576268266))","(2:45.4312142621,6.03324888037)"
"MULTILINESTRING ((6.03431869721089 45.4305708974535,6.03394326693577 45.4303609722568))","(2:45.4304659349,6.03413098207)"
"MULTILINESTRING ((6.02780912146226 45.4220825744052,6.02979479965209 45.4308272653698,6.02979514716705 45.4308288299288))","(2:45.4264557013,6.028802138)"
"MULTILINESTRING ((6.02690219059729 45.4221752772668,6.02611751940904 45.4223927868371))","(2:45.4222840321,6.026509855)"
"MULTILINESTRING ((6.02774297501945 45.4297040539467,6.02807745380434 45.4295634420224))","(2:45.429633748,6.02791021441)"
"MULTILINESTRING ((5.30797838504037 45.0989480259302,5.30818003399702 45.0988677668891,5.31244133765257 45.0969092314911))","(2:45.0979335878,5.31021198616)"
"MULTILINESTRING ((6.08018819847512 45.0294174865845,6.08491819860714 45.0302826294963,6.0879140463984 45.0314378574792,6.08812585671201 45.0314752516808))","(2:45.0302859241,6.08420227031)"
"MULTILINESTRING ((5.70847888288959 45.2783137206107,5.70869296325882 45.2788344151323))","(2:45.2785740679,5.70858592307)"
"MULTILINESTRING ((5.8980131548606 45.2844002989939,5.89779782469334 45.2843134208574))","(2:45.2843568599,5.89790548978)"
"MULTILINESTRING ((6.01261169521967 45.4410209514201,6.01446467009163 45.4434403683293))","(2:45.4422306599,6.01353818266)"
"MULTILINESTRING ((5.73366172007269 44.8393303870068,5.73661302532795 44.8460630074351))","(2:44.8426966972,5.7351373727)"
"MULTILINESTRING ((5.7721387434573 44.8661604513765,5.77291100359393 44.8702449474452))","(2:44.8682026994,5.77252487353)"
"MULTILINESTRING ((5.75818784417041 44.8510671664425,5.75910120075549 44.8523401679982,5.75901321462385 44.8527138598999))","(2:44.8518657092,5.75872574261)"
"MULTILINESTRING ((5.77039540962597 44.8491722536078,5.7742155577012 44.8493290149333,5.77601599103586 44.8488087394888))","(2:44.8491908479,5.77322988873)"
"MULTILINESTRING ((5.72703998805445 44.8407597480878,5.72669212974747 44.8405115181401))","(2:44.8406356331,5.7268660589)"
"MULTILINESTRING ((5.87746829799802 45.2094658035869,5.87777495701077 45.2092178295423,5.87778835678026 45.2092082177064))","(2:45.2093366473,5.87762805051)"
"MULTILINESTRING ((5.88157467886492 45.2088849745241,5.88138306040941 45.2077567740178,5.88179850268324 45.2053756186218,5.88123807778794 45.2043947967644,5.87998704669394 45.2043493312389))","(2:45.2061223661,5.88134939641)"
"MULTILINESTRING ((5.28824812284646 45.0844413316525,5.28107858360453 45.0773086592325))","(2:45.0808749954,5.28466335323)"
"MULTILINESTRING ((5.29105453562787 45.0824552109325,5.29037701846593 45.0818126159742))","(2:45.0821339135,5.29071577705)"
"MULTILINESTRING ((5.28889266740582 45.0802727839761,5.28882576580136 45.0803205447506))","(2:45.0802966644,5.2888592166)"
"MULTILINESTRING ((5.28218243380532 45.0769415366935,5.28347599946226 45.0763977930223))","(2:45.0766696649,5.28282921663)"
"MULTILINESTRING ((5.2658603757208 45.06431479263,5.26702127489357 45.0641055299039))","(2:45.0642101613,5.26644082531)"
"MULTILINESTRING ((5.26751348050557 45.0673795322439,5.26742773687551 45.0674207206227))","(2:45.0674001264,5.26747060869)"
"MULTILINESTRING ((5.28008884220899 45.0779712850309,5.27784977988159 45.0792104940039,5.27708460488169 45.0792538452247))","(2:45.0787386798,5.27862313062)"
"MULTILINESTRING ((5.74531862439503 45.3926730341421,5.74420363598956 45.3937566392997))","(2:45.3932148367,5.74476113019)"
"MULTILINESTRING ((5.73858193253599 45.3883437025826,5.73834093895702 45.3884614327351))","(2:45.3884025677,5.73846143575)"
"MULTILINESTRING ((5.74327210547338 45.3944339250761,5.74420363598956 45.3937566392997))","(2:45.3940952822,5.74373787073)"
"MULTILINESTRING ((5.74289836519894 45.3842308425347,5.74673271931149 45.3783832355166))","(2:45.381307039,5.74481554226)"
"MULTILINESTRING ((5.74106373498943 45.3887612198017,5.73913040266566 45.3888274649281,5.73834093895702 45.3884614327351))","(2:45.3887478354,5.7396746728)"
"MULTILINESTRING ((5.74106373498943 45.3887612198017,5.7422412829792 45.3887070878005))","(2:45.3887341538,5.74165250898)"
"MULTILINESTRING ((5.73834093895702 45.3884614327351,5.73801313941835 45.3885841876806,5.7375618760538 45.3886715019365))","(2:45.3885824367,5.73795590843)"
"MULTILINESTRING ((5.83540712369282 44.8812573810252,5.83516502904761 44.881529835638,5.8323664356475 44.8834232277377))","(2:44.8823710931,5.83391376027)"
"MULTILINESTRING ((5.85613066750264 44.8812008482388,5.86070524407022 44.8786446458444))","(2:44.879922747,5.85841795579)"
"MULTILINESTRING ((5.81608221758965 44.9006053160036,5.81536885386169 44.9024633207783))","(2:44.9015343184,5.81572553573)"
"MULTILINESTRING ((5.96764054670068 45.3803900890515,5.97149475108756 45.3791640974365))","(2:45.3797770932,5.96956764889)"
"MULTILINESTRING ((5.94227996316629 45.3945529384273,5.9374907460045 45.3924501343039))","(2:45.3935015364,5.93988535459)"
"MULTILINESTRING ((5.9374907460045 45.3924501343039,5.93682345728426 45.3921601671083,5.93604376130634 45.3915463036308))","(2:45.392044407,5.93673966491)"
"MULTILINESTRING ((5.94975643437242 45.3855602473418,5.95186738609049 45.383715654175))","(2:45.3846379508,5.95081191023)"
"MULTILINESTRING ((5.9436865631533 45.3979386776985,5.94355661476149 45.3976255163101))","(2:45.397782097,5.94362158896)"
"MULTILINESTRING ((5.62163931766919 44.8524107601587,5.62204483029892 44.8524172516635))","(2:44.8524140059,5.62184207398)"
"MULTILINESTRING ((5.82055333351049 45.1580037826948,5.82082259416025 45.1578016602153))","(2:45.1579027215,5.82068796384)"
"MULTILINESTRING ((5.84225924111701 45.1377065511595,5.84150100250138 45.1375263927338,5.84111574211765 45.1375348467817))","(2:45.1375880669,5.84169095267)"
"MULTILINESTRING ((5.8530294206585 45.157908710441,5.85350324632484 45.1580697962876,5.854691236229 45.158456059768))","(2:45.1581846485,5.85385957576)"
"MULTILINESTRING ((5.85102725488417 45.1504959462711,5.85182151193272 45.1532437638777))","(2:45.1518698551,5.85142438341)"
"MULTILINESTRING ((5.8389743177228 45.1456787270568,5.84098899520347 45.1458961776656))","(2:45.1457874524,5.83998165646)"
"MULTILINESTRING ((5.84572601714065 45.1465692559331,5.84305462804519 45.1459744765556,5.84213529941002 45.1459800975978,5.84098899520347 45.1458961776656))","(2:45.1461356898,5.84337041594)"
"MULTILINESTRING ((5.84258917902085 45.1431406163232,5.84197953099978 45.143202756221,5.84059208063207 45.1437217282613))","(2:45.1433772171,5.84157801046)"
"MULTILINESTRING ((5.83970714149082 45.1607077118354,5.84034294609323 45.1591544950901))","(2:45.1599311035,5.84002504379)"
"MULTILINESTRING ((5.71248954225349 45.2120429279746,5.71043791000304 45.2124234498801,5.70992384111491 45.2127387036965,5.70947243673417 45.2132022028116))","(2:45.2124390218,5.71088952019)"
"MULTILINESTRING ((5.71558215907717 45.2191827686976,5.71536175821096 45.219553498547))","(2:45.2193681336,5.71547195864)"
"MULTILINESTRING ((5.70415060308803 45.2143427792927,5.7043181815632 45.214755582039))","(2:45.2145491807,5.70423439233)"
"MULTILINESTRING ((5.62107074355204 44.8759670897442,5.6167195085157 44.8674737519009,5.61616580177184 44.8663120962994))","(2:44.871146792,5.61860371039)"
"MULTILINESTRING ((5.60745976226961 44.8687072631536,5.60784840919666 44.8720192408395))","(2:44.870363252,5.60765408573)"
"MULTILINESTRING ((5.60745976226961 44.8687072631536,5.60462543044509 44.8689532637905))","(2:44.8688302635,5.60604259636)"
"MULTILINESTRING ((5.59299597793349 44.8700531517352,5.59039226642248 44.8688016381543,5.58433250937706 44.8664052300461))","(2:44.8681636726,5.58869290122)"
"MULTILINESTRING ((5.62302340935313 44.8750506065853,5.62611433623964 44.8732843911207))","(2:44.8741674989,5.6245688728)"
"MULTILINESTRING ((5.63552279054109 45.1846649143899,5.63508094934392 45.1847732015557))","(2:45.184719058,5.63530186994)"
"MULTILINESTRING ((5.63613655874382 45.187076769027,5.63380915467486 45.1878462152945))","(2:45.1874614922,5.63497285671)"
"MULTILINESTRING ((5.64033866157091 45.1765705009348,5.64129218847543 45.1770161043128,5.64294759748976 45.1768079085043))","(2:45.1768660899,5.64161530446)"
"MULTILINESTRING ((5.84684647622956 45.2905142733871,5.85055479753497 45.287704604623))","(2:45.289109439,5.84870063688)"
"MULTILINESTRING ((5.63181090675022 45.0622333189709,5.63746257414276 45.0650325087347))","(2:45.0636329139,5.63463674045)"
"MULTILINESTRING ((5.6263822795546 44.9300666082965,5.62835257552336 44.9306244591148))","(2:44.9303455337,5.62736742754)"
"MULTILINESTRING ((5.80482072877617 45.318927161587,5.8052670178241 45.321056143807))","(2:45.3199916527,5.8050438733)"
"MULTILINESTRING ((5.80607836465025 45.3401833997487,5.80337796360588 45.3381984463586))","(2:45.3391909231,5.80472816413)"
"MULTILINESTRING ((5.82419001983801 45.3441314998021,5.82429241901998 45.3440717075211,5.83104711883839 45.3445239966124))","(2:45.3442944738,5.82761074944)"
"MULTILINESTRING ((5.76426675555373 45.2991340667398,5.76381196501157 45.2985621237488))","(2:45.2988480952,5.76403936028)"
"MULTILINESTRING ((5.82580444199263 45.3526531042183,5.82505973861585 45.3521620915424,5.82506089965517 45.352161667981))","(2:45.3524072579,5.82543157592)"
"MULTILINESTRING ((5.82580444199263 45.3526531042183,5.82948344238938 45.3550013737551,5.83045150424102 45.3551704995638,5.83044742084329 45.3552252153588))","(2:45.3540701339,5.82809511836)"
"MULTILINESTRING ((5.82397070351849 45.3533035484119,5.82347325468648 45.3533891209394))","(2:45.3533463347,5.8237219791)"
"MULTILINESTRING ((5.79340831066741 45.3223323229118,5.79287515369926 45.3212609673476,5.78719530207241 45.3178272095272))","(2:45.3198881872,5.79050977506)"
"MULTILINESTRING ((5.78719530207241 45.3178272095272,5.78775208231206 45.3175315861506))","(2:45.3176793978,5.78747369219)"
"MULTILINESTRING ((5.78872759220824 45.316980439915,5.78775208231206 45.3175315861506))","(2:45.317256013,5.78823983726)"
"MULTILINESTRING ((5.7648743671673 45.3048882440859,5.76567332768456 45.3047889281612))","(2:45.3048385861,5.76527384743)"
"MULTILINESTRING ((5.78333358128541 45.3164571198447,5.78368116890228 45.3164394264336))","(2:45.3164482731,5.78350737509)"
"MULTILINESTRING ((5.79718905253567 45.3266079776474,5.79737260310873 45.3265891991731))","(2:45.3265985884,5.79728082782)"
"MULTILINESTRING ((5.93301446862972 44.8205553335806,5.93268094102806 44.8195949903263))","(2:44.820075162,5.93284770483)"
"MULTILINESTRING ((5.94777873711967 44.8116565126014,5.95042230278875 44.8085645265354))","(2:44.8101105196,5.94910051995)"
"MULTILINESTRING ((5.95197243294309 44.8229910843572,5.95185827168234 44.8229929051965,5.95087532025386 44.8230209220368,5.95014932189481 44.8229877664834,5.94954905428904 44.8229614850288,5.94883411167397 44.8230034646719))","(2:44.8229940295,5.95040285159)"
"MULTILINESTRING ((5.95565444056686 44.8188362519905,5.95609837464018 44.8185324949061,5.95611084793151 44.8185223348097))","(2:44.8186798155,5.95588303445)"
"MULTILINESTRING ((5.67702816999833 44.7252348900951,5.67703328835225 44.7255805037615))","(2:44.7254076969,5.67703072918)"
"MULTILINESTRING ((5.67117792676352 44.7286332031472,5.66680485730811 44.7305384271463))","(2:44.7295858151,5.66899139204)"
"MULTILINESTRING ((5.91235295292449 44.8066512365813,5.91408057953012 44.8067470134447,5.91899578945377 44.8064898910698))","(2:44.8066394357,5.91567426383)"
"MULTILINESTRING ((5.25842915285526 45.1092330582402,5.25901254624831 45.1092063181201))","(2:45.1092196882,5.25872084955)"
"MULTILINESTRING ((5.57948149956242 45.1316495152605,5.57941952029404 45.1317203976467,5.5794296737092 45.1317289689564))","(2:45.1316898694,5.57944730534)"
"MULTILINESTRING ((5.57128537589158 45.2614331937378,5.57121484949479 45.261461156122,5.57088135885531 45.2615000502239))","(2:45.2614744418,5.57108533736)"
"MULTILINESTRING ((5.51200445486315 45.2485705960472,5.50741591629332 45.2440861770128))","(2:45.2463283865,5.50971018558)"
"MULTILINESTRING ((5.49923493744761 45.2415465695783,5.50000100209397 45.2412105770225,5.50165191040233 45.2402673201495))","(2:45.2409343737,5.50045722632)"
"MULTILINESTRING ((5.48253873040382 45.2047656991565,5.48270739661852 45.206424024781))","(2:45.205594862,5.48262306351)"
"MULTILINESTRING ((5.74327210547338 45.3944339250761,5.74341425793116 45.396529147873))","(2:45.3954815365,5.7433431817)"
"MULTILINESTRING ((5.76341130479367 45.239597152906,5.76404257331726 45.2376101616115,5.76335542117038 45.2359226701809))","(2:45.2377468342,5.763713908)"
"MULTILINESTRING ((5.61940095372167 44.82318868108,5.6198812121993 44.8230922082751,5.6208674928851 44.8226499221143,5.62130349712219 44.8224464005643))","(2:44.8228596544,5.62036605977)"
"MULTILINESTRING ((5.6699423125512 45.063240149489,5.67214864371539 45.0653182331584))","(2:45.0642791913,5.67104547813)"
"MULTILINESTRING ((6.08054997516287 44.9916366598162,6.07932517609679 44.9920643025928))","(2:44.9918504812,6.07993757563)"
"MULTILINESTRING ((5.78040110888099 45.4287341986311,5.78119179050363 45.4276609210831,5.78046319632497 45.4259445883545,5.77980507951794 45.4256009008486))","(2:45.4270805771,5.78068633783)"
"MULTILINESTRING ((5.69456669034307 45.2566093587141,5.6945638894044 45.2567058939376))","(2:45.2566576263,5.69456528987)"
"MULTILINESTRING ((5.71477846062635 45.3855571924937,5.71651630386359 45.3863957975158))","(2:45.385976495,5.71564738224)"
"MULTILINESTRING ((5.95495147147836 45.3098617564633,5.95377913019046 45.3105754070615))","(2:45.3102185818,5.95436530083)"
"MULTILINESTRING ((5.95433761037282 45.378042731174,5.95518469137133 45.3781301515979))","(2:45.3780864414,5.95476115087)"
"MULTILINESTRING ((5.57264212374905 45.0761639436914,5.57109999334991 45.0739036330331))","(2:45.0750337884,5.57187105855)"
"MULTILINESTRING ((5.62760021962514 45.2462959860981,5.62750023645616 45.2453924875342,5.62565236742573 45.2450544607861))","(2:45.2454259038,5.62689389757)"
"MULTILINESTRING ((5.97837566688237 45.4565605219191,5.97854291392164 45.4565175458016))","(2:45.4565390339,5.9784592904)"
"MULTILINESTRING ((5.92335923254515 45.2680524685542,5.92385473265431 45.267863519675))","(2:45.2679579941,5.9236069826)"
"MULTILINESTRING ((5.62849325137218 44.9635753217874,5.62144315952165 44.9607196508092))","(2:44.9621474863,5.62496820545)"
"MULTILINESTRING ((5.97748620661659 45.2651221753308,5.97750297016862 45.265346663334))","(2:45.2652344193,5.97749458839)"
"MULTILINESTRING ((5.77201158976359 45.0425513434431,5.77176618488978 45.0429338280677,5.77106028962871 45.0435890176742,5.77100794194213 45.043954631263,5.77100648566906 45.0440103100442,5.7709561326631 45.0440087103465))","(2:45.0432775771,5.77143001291)"
"MULTILINESTRING ((5.78872759220824 45.316980439915,5.78991240646031 45.3164256480251))","(2:45.316703044,5.78931999933)"
"MULTILINESTRING ((5.77085793409942 45.0439431908409,5.77085829454289 45.0439665441789,5.77085905137248 45.0440152755659,5.77088586601474 45.0440149397288,5.77092236400072 45.0440144928522))","(2:45.0439959024,5.77087355588)"
"MULTILINESTRING ((5.8005926656372 44.9151386728029,5.80453407739958 44.9149974272121))","(2:44.91506805,5.80256337152)"
"MULTILINESTRING ((5.32882628117679 45.1183018087903,5.32864181744042 45.1182012088233,5.32826763708795 45.1184541475555,5.32805632679395 45.1185761562486))","(2:45.1183605125,5.32844065951)"
"MULTILINESTRING ((5.62565236742573 45.2450544607861,5.6242969004117 45.2430441512131))","(2:45.244049306,5.62497463392)"
"MULTILINESTRING ((5.60855389223914 45.2500489322004,5.60370934994626 45.2507424940347,5.60335297952263 45.2509599072289,5.60334059499511 45.2509699497457))","(2:45.2504331092,5.60591951217)"
"MULTILINESTRING ((5.82157770706767 45.1280442977424,5.82159517439002 45.1284458610569))","(2:45.1282450794,5.82158644073)"
"MULTILINESTRING ((6.04193472037084 45.1271906837673,6.04320149083941 45.1264885956851))","(2:45.1268396397,6.04256810561)"
"MULTILINESTRING ((6.06986738539623 45.0054930534981,6.07028052338932 45.0042875306768))","(2:45.0048902921,6.07007395439)"
"MULTILINESTRING ((6.09616145695989 45.426172704693,6.09566960162104 45.4260648652924))","(2:45.426118785,6.09591552929)"
"MULTILINESTRING ((5.85130152961767 45.2510873502929,5.85038741642913 45.250603035218))","(2:45.2508451928,5.85084447302)"
"MULTILINESTRING ((5.85166605024343 45.2511877954281,5.85130152961767 45.2510873502929))","(2:45.2511375729,5.85148378993)"
"MULTILINESTRING ((5.99110421322172 45.4576865238364,5.99095165494106 45.4583358306584))","(2:45.4580111772,5.99102793408)"
"MULTILINESTRING ((5.77476404177413 45.266749652263,5.78001141244667 45.267072000316,5.78104883056246 45.2672110698245))","(2:45.2669491328,5.7779094845)"
"MULTILINESTRING ((5.55792458195166 45.270585046658,5.55813023733886 45.2709936689673))","(2:45.2707893578,5.55802740965)"
"MULTILINESTRING ((5.49850596620412 45.214017467931,5.49831834289373 45.2103158928306))","(2:45.2121666804,5.49841215455)"
"MULTILINESTRING ((6.05342398927702 45.1382809093159,6.05876944425637 45.1368590792377))","(2:45.1375699943,6.05609671677)"
"MULTILINESTRING ((5.64371087600402 45.1706521295355,5.64362001800689 45.1707863848705))","(2:45.1707192572,5.64366544701)"
"MULTILINESTRING ((5.79327812654431 45.0027793501967,5.79274613138404 45.0021261760896))","(2:45.0024527631,5.79301212896)"
"MULTILINESTRING ((5.8007281781809 44.9436419944036,5.80075828004528 44.9436849616585))","(2:44.943663478,5.80074322911)"
"MULTILINESTRING ((5.91718455524853 44.8175539270515,5.91868315379553 44.8175020299494))","(2:44.8175279785,5.91793385452)"
"MULTILINESTRING ((5.91377123485221 44.8182852432294,5.91268427518505 44.8182446690953,5.90973773553625 44.8185026433733,5.90972305976998 44.8181138407547))","(2:44.8183412551,5.91157576779)"
"MULTILINESTRING ((5.93301446862972 44.8205553335806,5.93470199314792 44.8205338820697,5.93524577477979 44.8203598706335))","(2:44.8205199026,5.93414025297)"
"MULTILINESTRING ((5.94777873711967 44.8116565126014,5.94440993231775 44.8136856767685))","(2:44.8126710947,5.94609433472)"
"MULTILINESTRING ((5.94806357678998 44.8151272159423,5.94870088500849 44.8165557220394))","(2:44.815841469,5.9483822309)"
"MULTILINESTRING ((5.94982778169674 44.8187399680365,5.95197585768044 44.822991026222,5.95197243294309 44.8229910843572))","(2:44.8208670246,5.95090259029)"
"MULTILINESTRING ((5.90874845801615 44.7844528828756,5.90803397735341 44.7844965870468))","(2:44.784474735,5.90839121768)"
"MULTILINESTRING ((5.90972735815363 44.8164737860129,5.90976485455443 44.8165906267756))","(2:44.8165322064,5.90974610635)"
"MULTILINESTRING ((5.91099706617811 44.8104291978722,5.91102656463322 44.8106188113223,5.91313730617026 44.8136271368919,5.91248278407488 44.813975955067))","(2:44.8123265348,5.91215455464)"
"MULTILINESTRING ((6.00100053244002 45.3910526281192,6.00121071374203 45.3910368208618,6.00278794184303 45.3904402115004))","(2:45.3907725376,6.0019000323)"
"MULTILINESTRING ((6.04645131752351 45.1487937389961,6.04574778801397 45.1480202680505))","(2:45.1484070035,6.04609955277)"
"MULTILINESTRING ((5.76893353423687 44.740238401664,5.76844132933218 44.744150917686))","(2:44.7421946597,5.76868743178)"
"MULTILINESTRING ((5.85959021349592 44.9313297280556,5.85999560698253 44.9321677551448))","(2:44.9317487416,5.85979291024)"
"MULTILINESTRING ((5.33650951818144 45.1337691870951,5.33756371499198 45.1342237172636))","(2:45.1339964522,5.33703661659)"
"MULTILINESTRING ((5.61574458258467 44.9132137791537,5.61573337147087 44.914821428947))","(2:44.9140176041,5.61573897703)"
"MULTILINESTRING ((5.77031863169299 44.9364824679724,5.77043787154848 44.9364791713553,5.77241078360477 44.9358569632463,5.77308112406022 44.9356932468999))","(2:44.9360868124,5.77169784712)"
"MULTILINESTRING ((5.94861247186721 45.3527792277964,5.94871926578106 45.3526091362709,5.95420440979744 45.3552192264045))","(2:45.3538751359,5.95137235429)"
"MULTILINESTRING ((5.67702816999833 44.7252348900951,5.67673587639464 44.7256755871645))","(2:44.7254552386,5.6768820232)"
"MULTILINESTRING ((5.77453713956173 45.0469049075647,5.77556058663179 45.048569619898,5.77532869970043 45.0490867401813))","(2:45.0479825178,5.77513784028)"
"MULTILINESTRING ((5.85209252342093 45.251364217391,5.85166605024343 45.2511877954281))","(2:45.2512760064,5.85187928683)"
"MULTILINESTRING ((5.5678943184027 45.1009386032369,5.56780798919457 45.1009814510043))","(2:45.1009600271,5.5678511538)"
"MULTILINESTRING ((5.70497254140797 45.1122631315039,5.70514049473576 45.1123588539905))","(2:45.1123109927,5.70505651807)"
"MULTILINESTRING ((5.90803318316862 45.0978241135804,5.90803998422663 45.0978369781839,5.90806565287555 45.0978401496884))","(2:45.097835677,5.90804697315)"
