WKT,geo_point_
"MULTILINESTRING ((5.80558401851898 44.9161134851971,5.80562792703567 44.9174090983323))","(2:44.9167612918,5.80560597278)"
"MULTILINESTRING ((5.77494554310547 44.937255133646,5.77480613206264 44.9367819319881))","(2:44.9370185328,5.77487583758)"
"MULTILINESTRING ((5.77633962621422 44.9153275076653,5.77628623370804 44.9155329838401))","(2:44.9154302458,5.77631292996)"
"MULTILINESTRING ((5.77443889239779 44.9357120775978,5.77480613206264 44.9367819319881))","(2:44.9362470048,5.77462251223)"
"MULTILINESTRING ((5.94944107001134 45.3132310391354,5.95093533090463 45.312221145257))","(2:45.3127260922,5.95018820046)"
"MULTILINESTRING ((5.97102870739686 45.3102083314123,5.97111477575275 45.3084639552092))","(2:45.3093361433,5.97107174157)"
"MULTILINESTRING ((5.97102870739686 45.3102083314123,5.97011293468964 45.3097082345262))","(2:45.309958283,5.97057082104)"
"MULTILINESTRING ((5.9729408376332 45.3164886859325,5.97412433727709 45.3169358636125))","(2:45.3167122748,5.97353258746)"
"MULTILINESTRING ((5.94284904075511 45.3176928352317,5.93040299450748 45.3077030986951))","(2:45.312697967,5.93662601763)"
"MULTILINESTRING ((5.92481544722593 45.3223617230676,5.9251140589485 45.3217930408623))","(2:45.322077382,5.92496475309)"
"MULTILINESTRING ((5.93901680276838 45.3301130501465,5.93822667236478 45.3299303309481))","(2:45.3300216905,5.93862173757)"
"MULTILINESTRING ((5.94134395150455 45.3340755932148,5.93962098084103 45.3344980321975))","(2:45.3342868127,5.94048246617)"
"MULTILINESTRING ((5.94134395150455 45.3340755932148,5.94266775784914 45.3362300075634))","(2:45.3351528004,5.94200585468)"
"MULTILINESTRING ((5.93648664056964 45.3299235028642,5.93660613893188 45.3299443235452,5.93684196326637 45.3296092545081,5.93768996295542 45.3299018688247,5.93822667236478 45.3299303309481))","(2:45.3298148906,5.93729790848)"
"MULTILINESTRING ((5.99517930154535 45.2932816363179,5.99539125656019 45.2943797535946,5.99553453555898 45.2948608048388,5.9955507899918 45.2956562845756))","(2:45.2944649681,5.99540694403)"
"MULTILINESTRING ((6.0017285806579 45.3021160262612,6.00133758513977 45.3017368223848))","(2:45.3019264243,6.0015330829)"
"MULTILINESTRING ((6.00350145581091 45.3037792156378,6.0037435020776 45.30453049078))","(2:45.3041548532,6.00362247894)"
"MULTILINESTRING ((5.98696231083503 45.3040631369037,5.98624975809245 45.3041582063811))","(2:45.3041106716,5.98660603446)"
"MULTILINESTRING ((5.98696231083503 45.3040631369037,5.98772317449778 45.3040672324802))","(2:45.3040651847,5.98734274267)"
"MULTILINESTRING ((5.9961664253302 45.2843758810369,5.99683487022226 45.2843548928773))","(2:45.284365387,5.99650064778)"
"MULTILINESTRING ((5.94182604849625 45.340726818706,5.94190875373906 45.3406261353545))","(2:45.340676477,5.94186740112)"
"MULTILINESTRING ((5.95916630134281 45.3577985572426,5.96062431900143 45.3554636155534))","(2:45.3566310864,5.95989531017)"
"MULTILINESTRING ((5.96019088036249 45.3625570446169,5.96098235825005 45.3620597777574,5.96252491350364 45.3615247545252))","(2:45.3619801793,5.96132875974)"
"MULTILINESTRING ((5.6502161394236 44.8988329022535,5.65165050766485 44.8978904269614,5.65708116189681 44.8983540684412))","(2:44.8981795837,5.65354381064)"
"MULTILINESTRING ((5.73585359937663 44.7553861494539,5.73640138796019 44.7554734918903))","(2:44.7554298207,5.73612749367)"
"MULTILINESTRING ((5.75126757773034 44.7430631612997,5.7515241944486 44.7421056937909))","(2:44.7425844275,5.75139588609)"
"MULTILINESTRING ((5.75189036968823 44.741387475565,5.75197626932049 44.741924567145))","(2:44.7416560214,5.7519333195)"
"MULTILINESTRING ((5.76518363078731 44.7393914158897,5.76893353423687 44.740238401664))","(2:44.7398149088,5.76705858251)"
"MULTILINESTRING ((5.92833821244095 44.8919529936185,5.9291128026206 44.8921655399959))","(2:44.8920592668,5.92872550753)"
"MULTILINESTRING ((5.92367508416983 44.8968630313515,5.92209726714313 44.8958154527701,5.92055994510568 44.8949620779583,5.91650916683793 44.8930636757121,5.91508901876651 44.8926493881174))","(2:44.8945453572,5.91948276875)"
"MULTILINESTRING ((5.90708640848981 44.8912529111501,5.90728857202612 44.8908558586795))","(2:44.8910543849,5.90718749026)"
"MULTILINESTRING ((5.93008392091933 44.8989473453548,5.92985654520408 44.8994106510238))","(2:44.8991789982,5.92997023306)"
"MULTILINESTRING ((5.9023003990056 44.8936263981984,5.90231575687217 44.8936157735017))","(2:44.8936210859,5.90230807794)"
"MULTILINESTRING ((5.8576182166212 44.940115692066,5.85942020457249 44.9418149491849,5.86256985673283 44.9442924416765))","(2:44.9422559703,5.86004930776)"
"MULTILINESTRING ((5.8632009740624 44.9450500341796,5.86336800998243 44.9451964408616))","(2:44.9451232375,5.86328449202)"
"MULTILINESTRING ((6.04172126591247 44.8636983323065,6.04258496462426 44.8631303372988,6.04605512101109 44.8618532960979))","(2:44.8626933705,6.04384660764)"
"MULTILINESTRING ((5.67371442300147 45.0712041669878,5.67603873725802 45.0700750013803))","(2:45.0706395842,5.67487658013)"
"MULTILINESTRING ((5.6656925213913 45.1023222410465,5.66572507119432 45.102335714437,5.66612730724518 45.102688680983))","(2:45.1025008814,5.66591276229)"
"MULTILINESTRING ((5.6860429827548 45.0827326955144,5.68459497296301 45.0803159946671))","(2:45.0815243451,5.68531897786)"
"MULTILINESTRING ((5.68768841462989 45.0854858972423,5.68711230231309 45.0845299405253))","(2:45.0850079189,5.68740035847)"
"MULTILINESTRING ((5.68276403338959 45.0769827554125,5.68339437822016 45.0780002042295))","(2:45.0774914798,5.6830792058)"
"MULTILINESTRING ((5.70855548156693 45.0906635266795,5.7093630845294 45.0902078274339,5.71115224757492 45.0900159628816))","(2:45.0902220065,5.7098161137)"
"MULTILINESTRING ((5.69760619694589 45.0890599672338,5.70768317392369 45.0872082686694))","(2:45.088134118,5.70264468543)"
"MULTILINESTRING ((5.69060006766546 45.1020706375347,5.68989132081932 45.1020209197343))","(2:45.1020457786,5.69024569424)"
"MULTILINESTRING ((6.09086051870012 45.1622100853133,6.09131059002772 45.162338586866,6.09152090880166 45.1636713641623))","(2:45.1628167977,6.09133070694)"
"MULTILINESTRING ((6.05471667442959 45.1491122047966,6.05670972481269 45.1496333422719,6.05744338752609 45.1499784550938,6.05884736075764 45.150440430322))","(2:45.1497378778,6.05679398787)"
"MULTILINESTRING ((6.04997003734724 45.1476147944883,6.04864406124755 45.1482186107423))","(2:45.1479167026,6.0493070493)"
"MULTILINESTRING ((5.81631252646524 45.1219735783719,5.81545668739047 45.1221583338654))","(2:45.1220659561,5.81588460693)"
"MULTILINESTRING ((5.87072693867688 45.1020969016961,5.87016364893125 45.1017248490753,5.86937749302833 45.1014299004022,5.86935120231768 45.101424119467))","(2:45.1017207848,5.87005893019)"
"MULTILINESTRING ((5.87072693867688 45.1020969016961,5.87172771035268 45.1055308944832,5.87265860094737 45.1050817226048))","(2:45.1041484742,5.87144384944)"
"MULTILINESTRING ((5.80912006906914 45.1711750528189,5.80714600214909 45.1717983520144,5.80652162570286 45.1723234512895))","(2:45.171649022,5.80776576034)"
"MULTILINESTRING ((5.81288163451079 45.1709761028204,5.80948881902691 45.1711533214816))","(2:45.1710647122,5.81118522677)"
"MULTILINESTRING ((6.07939399484133 44.9895051448527,6.08054997516287 44.9916366598162))","(2:44.9905709023,6.079971985)"
"MULTILINESTRING ((6.11481091816321 44.9906578671664,6.11552343475855 44.9914221357356))","(2:44.9910400015,6.11516717646)"
"MULTILINESTRING ((6.08054997516287 44.9916366598162,6.08064214402738 44.9917518601059))","(2:44.99169426,6.0805960596)"
"MULTILINESTRING ((6.11088941503638 44.9881915825617,6.10978919870109 44.9882553049254))","(2:44.9882234437,6.11033930687)"
"MULTILINESTRING ((6.07627685735456 44.9971260391686,6.07647161489133 44.9973422455168))","(2:44.9972341423,6.07637423612)"
"MULTILINESTRING ((5.85286307101199 45.2270019334088,5.85300839166192 45.2268726759209))","(2:45.2269373047,5.85293573134)"
"MULTILINESTRING ((5.61789699237611 45.2787809558383,5.61715854712264 45.2787527753536))","(2:45.2787668656,5.61752776975)"
"MULTILINESTRING ((5.61238436536637 45.2780719515328,5.60763712461593 45.2757024287599))","(2:45.2768871901,5.61001074499)"
"MULTILINESTRING ((5.61391142357447 45.2884681901869,5.60754338824131 45.2932439202127))","(2:45.2908560552,5.61072740591)"
"MULTILINESTRING ((5.6801778097927 45.0074727257043,5.67974843783369 45.005980598943))","(2:45.0067266623,5.67996312381)"
"MULTILINESTRING ((5.66896121312851 45.05934559553,5.66903064673628 45.0596047542392))","(2:45.0594751749,5.66899592993)"
"MULTILINESTRING ((5.67231340599306 45.0612076251767,5.67235480202615 45.0614645561839))","(2:45.0613360907,5.67233410401)"
"MULTILINESTRING ((5.68861300321233 45.0672727751662,5.68870332876396 45.0672541081065,5.69101666738568 45.067942630827,5.6917912764737 45.068395215386))","(2:45.0677397072,5.6902344631)"
"MULTILINESTRING ((5.6917912764737 45.068395215386,5.69231120957808 45.0686701069468))","(2:45.0685326612,5.69205124303)"
"MULTILINESTRING ((5.66627959949098 45.0530791712362,5.66483115148514 45.0531882503366,5.66473665519 45.0530403750251,5.66472880802714 45.0530280872659))","(2:45.0531307554,5.66546565331)"
"MULTILINESTRING ((5.66279245170374 45.047057625937,5.66182602151861 45.0472404852947,5.66110243872173 45.0474318691583))","(2:45.0472299162,5.66194408521)"
"MULTILINESTRING ((5.65739984460365 45.0300359364858,5.65578971251918 45.0303250409811))","(2:45.0301804887,5.65659477856)"
"MULTILINESTRING ((5.66128000761669 45.0193958324968,5.66277073277277 45.0188921454306,5.66529635826462 45.0190165066418))","(2:45.0190270767,5.66326325185)"
