WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((5.66421729113058 45.2047019316311))",SURFACTI0000000007462738,Zone d'activité ou d'intérêt,Espace public,place de l'europe
"MULTIPOINT ((5.66691637180397 45.2130981772881))",SURFACTI0000000007462739,Zone d'activité ou d'intérêt,Espace public,parc de l'ovalie
"MULTIPOINT ((5.64591993520633 45.213022841196))",SURFACTI0000000007462740,Zone d'activité ou d'intérêt,Espace public,place du général delestraint
"MULTIPOINT ((5.78918356228732 45.1859198009014))",SURFACTI0000000007462753,Zone d'activité ou d'intérêt,Espace public,square des alpilles
"MULTIPOINT ((5.79192308498267 45.1853395510335))",SURFACTI0000000007462754,Zone d'activité ou d'intérêt,Espace public,square pierre giraud
"MULTIPOINT ((5.7528193014688 45.1838755408038))",SURFACTI0000000007462755,Zone d'activité ou d'intérêt,Espace public,parc danielle casanova
"MULTIPOINT ((5.7376707517222 45.1899124669127))",SURFACTI0000000007462757,Zone d'activité ou d'intérêt,Espace public,place jean moulin
"MULTIPOINT ((5.73644510148442 45.1886789263272))",SURFACTI0000000007462758,Zone d'activité ou d'intérêt,Espace public,place bir hakeim
"MULTIPOINT ((5.72830902898125 45.185075610115))",SURFACTI0000000007462759,Zone d'activité ou d'intérêt,Espace public,cour des bossus
"MULTIPOINT ((5.73047231746464 45.1873417685456))",SURFACTI0000000007462760,Zone d'activité ou d'intérêt,Espace public,place de metz
"MULTIPOINT ((5.73273893634578 45.1863411948931))",SURFACTI0000000007462761,Zone d'activité ou d'intérêt,Espace public,place paul vallier
"MULTIPOINT ((5.72954466963805 45.1892470037527))",SURFACTI0000000007462762,Zone d'activité ou d'intérêt,Espace public,place jean achard
"MULTIPOINT ((5.7252395072991 45.1921383975391))",SURFACTI0000000007462763,Zone d'activité ou d'intérêt,Espace public,place de philippeville
"MULTIPOINT ((5.72780761310633 45.1926991325623))",SURFACTI0000000007462764,Zone d'activité ou d'intérêt,Espace public,cour de chaulnes
"MULTIPOINT ((5.73116256430214 45.1925206968659))",SURFACTI0000000007462765,Zone d'activité ou d'intérêt,Espace public,place notre-dame
"MULTIPOINT ((5.72842510342208 45.1930164943735))",SURFACTI0000000007462767,Zone d'activité ou d'intérêt,Espace public,place saint-andré
"MULTIPOINT ((5.73359133638318 45.1931712016784))",SURFACTI0000000007462769,Zone d'activité ou d'intérêt,Espace public,cour marcel reymond
"MULTIPOINT ((5.72960700756396 45.1929236323857))",SURFACTI0000000007462770,Zone d'activité ou d'intérêt,Espace public,place aux herbes
"MULTIPOINT ((5.73140117477682 45.1946330091274))",SURFACTI0000000007462771,Zone d'activité ou d'intérêt,Espace public,esplanade françois mitterrand
"MULTIPOINT ((5.72959329852224 45.1862654542568))",SURFACTI0000000007462775,Zone d'activité ou d'intérêt,Espace public,place d'avril
"MULTIPOINT ((5.72951374881014 45.1845704511487))",SURFACTI0000000007462776,Zone d'activité ou d'intérêt,Espace public,cour des momes
"MULTIPOINT ((5.72723546149298 45.1929329455247))",SURFACTI0000000007462779,Zone d'activité ou d'intérêt,Espace public,parvis des droits de l'homme
"MULTIPOINT ((5.72739198548963 45.1881806377229))",SURFACTI0000000007462780,Zone d'activité ou d'intérêt,Espace public,square du docteur léon martin
"MULTIPOINT ((5.7245988363922 45.1889795254864))",SURFACTI0000000007462781,Zone d'activité ou d'intérêt,Espace public,place victor hugo
"MULTIPOINT ((5.72922523532437 45.1854171961657))",SURFACTI0000000007462782,Zone d'activité ou d'intérêt,Espace public,place andré malraux
"MULTIPOINT ((5.73005165819641 45.183977080268))",SURFACTI0000000007462783,Zone d'activité ou d'intérêt,Espace public,cour du mikado
"MULTIPOINT ((5.72531828741233 45.1915598633266))",SURFACTI0000000007462785,Zone d'activité ou d'intérêt,Espace public,square du docteur valois
"MULTIPOINT ((5.72521733682165 45.1848997750821))",SURFACTI0000000007462786,Zone d'activité ou d'intérêt,Espace public,square godefroy silvestri
"MULTIPOINT ((5.71722108093574 45.1957746022039))",SURFACTI0000000007462787,Zone d'activité ou d'intérêt,Espace public,place de l'esplanade
"MULTIPOINT ((5.72251260238508 45.1854162584291))",SURFACTI0000000007462788,Zone d'activité ou d'intérêt,Espace public,place championnet
"MULTIPOINT ((5.7133410508731 45.1851350624534))",SURFACTI0000000007462789,Zone d'activité ou d'intérêt,Espace public,espace d'athènes
"MULTIPOINT ((5.7167152541024 45.1916956922011))",SURFACTI0000000007462790,Zone d'activité ou d'intérêt,Espace public,place doyen gosse
"MULTIPOINT ((5.71602868698708 45.1924818113711))",SURFACTI0000000007462791,Zone d'activité ou d'intérêt,Espace public,square colonel copier
"MULTIPOINT ((5.71325325238645 45.1845344623488))",SURFACTI0000000007462792,Zone d'activité ou d'intérêt,Espace public,espace de madrid
"MULTIPOINT ((5.72063610689379 45.1854259760992))",SURFACTI0000000007462793,Zone d'activité ou d'intérêt,Espace public,place condorcet
"MULTIPOINT ((5.71529324650338 45.190273003759))",SURFACTI0000000007462794,Zone d'activité ou d'intérêt,Espace public,place de la gare
"MULTIPOINT ((5.71408649719682 45.1869026189642))",SURFACTI0000000007462795,Zone d'activité ou d'intérêt,Espace public,place saint-bruno
"MULTIPOINT ((5.71614614577598 45.1887688386705))",SURFACTI0000000007462796,Zone d'activité ou d'intérêt,Espace public,jardin roger genin
"MULTIPOINT ((5.70888614690877 45.1869523679493))",SURFACTI0000000007462799,Zone d'activité ou d'intérêt,Espace public,parc marlave
"MULTIPOINT ((5.70532862891247 45.1885657524191))",SURFACTI0000000007462800,Zone d'activité ou d'intérêt,Espace public,square des fusillés
"MULTIPOINT ((5.70616617928448 45.1909753027785))",SURFACTI0000000007462801,Zone d'activité ou d'intérêt,Espace public,parc du moucherotte
"MULTIPOINT ((5.71109166102389 45.1950605146773))",SURFACTI0000000007462802,Zone d'activité ou d'intérêt,Espace public,place de sfax
"MULTIPOINT ((5.71282411733553 45.1911182158444))",SURFACTI0000000007462803,Zone d'activité ou d'intérêt,Espace public,place robert schuman
"MULTIPOINT ((5.71308966865592 45.1975508529226))",SURFACTI0000000007462805,Zone d'activité ou d'intérêt,Espace public,place paul huillier
"MULTIPOINT ((5.69858573969064 45.1886433834413))",SURFACTI0000000007462807,Zone d'activité ou d'intérêt,Espace public,parc dragon
