WKT,nom,id,type
"MULTIPOINT ((5.39508305490017 45.0769754737139))",L'émergence de Gournier,28045,Géologie
"MULTIPOINT ((5.50790749490261 44.9983710928781))",Le CAMP 2 du maquis du Vercors,27447,Résistance
"MULTIPOINT ((5.59593223035336 45.2872670015212))",La Dent de Moirans,28314,Point de Vue
"MULTIPOINT ((5.4395916312933 45.0623363154851))",La Porte du Diable,27464,Géologie
"MULTIPOINT ((5.56663031666649 44.9023061561716))",Gresse-en-Vercors,27470,Histoire et patrimoine
"MULTIPOINT ((5.59200212359428 45.1977037483864))",Belvédère de la Molière,27743,Point de Vue
"MULTIPOINT ((5.58005690574646 44.8449462839238))",Chapelle de Trézanne,28663,Histoire et patrimoine
"MULTIPOINT ((5.64708665013313 44.7243569047883))",Le Jocou,27495,Point de Vue
"MULTIPOINT ((5.34538380685262 45.0604112689382))",Maisons suspendues,28773,Histoire et patrimoine
"MULTIPOINT ((5.62115706503391 44.7545050086937))",Mont Barral,27534,Sommet
"MULTIPOINT ((5.5059502995573 44.9842882271898))",Cabane de Carrette,29092,Abri
"MULTIPOINT ((5.53350195055828 45.1595266947814))",La Via Vercors,29062,activités de pleine nature
"MULTIPOINT ((5.56469690054655 44.8969542235434))",Grand-Veymont,27474,Point de Vue
"MULTIPOINT ((5.57567082345486 45.058607732102))",Cascade de la Fauge,27687,eau
"MULTIPOINT ((5.39248560987651 45.0670243536416))",Le cirque de Choranche,28047,Géologie
"MULTIPOINT ((5.55447064340115 45.064155048412))",Le lycée climatique,27683,Histoire et patrimoine
"MULTIPOINT ((5.56446120142937 44.8952821850304))",Murgers,27472,Histoire et patrimoine
"MULTIPOINT ((5.54660841822624 44.9927870475801))",Le Mulet du Curé,27596,Histoire et patrimoine
"MULTIPOINT ((5.41043400764466 45.1636650681718))",La dalle inclinée,29716,Géologie
"MULTIPOINT ((5.39387083066686 45.0764754401018))",Grotte de Balme Rousse (à 700 m hors parcours),28041,Archéologie et préhistoire
"MULTIPOINT ((5.42892963714063 45.1629424363))",Les Gorges du Nan,28341,Géologie
"MULTIPOINT ((5.39791774775949 45.0741570452731))",Grotte de Choranche,28043,Histoire et patrimoine
"MULTIPOINT ((5.47039747238159 45.1368720574634))",Ancienne charbonnière,27737,Histoire et patrimoine
"MULTIPOINT ((5.58627963066101 45.1796773532374))",Empreintes d'Ours,29153,Faune
"MULTIPOINT ((5.40175184374675 45.0631241245148))",Gorges de la Bourne,28786,Géologie
"MULTIPOINT ((5.62578052282334 45.129984499367))",Le plateau des Ramées,27785,Pastoralisme
"MULTIPOINT ((5.55175758898258 45.2329536427379))",L'avion,27766,Résistance
