WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((5.70309573960978 45.2535144816348))",PAIHABIT0000000007544140,Zone d'habitation,Quartier,les vignes
"MULTIPOINT ((6.00792405133846 45.3258492677263))",PAIOROGR0000000007454208,Détail orographique,Vallée,la combe
"MULTIPOINT ((5.29536892107457 45.1196274357533))",PAIHABIT0000000007546441,Zone d'habitation,Lieu-dit habité,château bernard
"MULTIPOINT ((5.82497584883159 45.1662528685288))",PAIE_NAT0000000007450811,Lieu-dit non habité,Lieu-dit non habité,champ rôti
"MULTIPOINT ((5.50847545862617 44.8634699358885))",PAIOROGR0000000007457042,Détail orographique,Plaine,bonnevau
"MULTIPOINT ((5.6327136852197 44.9328160900007))",PAIE_NAT0000000007452225,Lieu-dit non habité,Lieu-dit non habité,pré long
"MULTIPOINT ((5.78623703320483 45.1244678727361))",PAIE_NAT0000000013680116,Lieu-dit non habité,Lieu-dit non habité,aux trouillons
"MULTIPOINT ((5.94740925813089 45.3538332616211))",PAIHABIT0000000323140050,Zone d'habitation,Quartier,grange vieille
"MULTIPOINT ((5.88814103623416 45.3162978733933))",PAIHABIT0000000007542520,Zone d'habitation,Lieu-dit habité,les massards
"MULTIPOINT ((6.27440320858189 44.9255234694698))",PAIOROGR0000000007456334,Détail orographique,Vallée,combe de pierre blanche
"MULTIPOINT ((5.84547673109424 45.0476236306283))",PAIHABIT0000000007547012,Zone d'habitation,Lieu-dit habité,belle lauze
"MULTIPOINT ((5.93345543572046 45.3503783631635))",PAIE_NAT0000000007449330,Lieu-dit non habité,Lieu-dit non habité,les ruines de beaumont
"MULTIPOINT ((5.87879451472242 45.1874566032625))",PAIHABIT0000000007544939,Zone d'habitation,Lieu-dit habité,le merger
"MULTIPOINT ((6.03149879609186 45.0144813043494))",PAIE_NAT0000000007451586,Lieu-dit non habité,Bois,bois de moularet
"MULTIPOINT ((5.45030410315539 45.1247420462046))",PAIOROGR0000000007455279,Détail orographique,Sommet,mont noir
"MULTIPOINT ((5.91506658268661 45.3529447181078))",PAIHABIT0000000007541851,Zone d'habitation,Lieu-dit habité,saint-michel
"MULTIPOINT ((5.73832096930367 45.1974060193475))",PAIHABIT0000000007545005,Zone d'habitation,Quartier,l'île verte
"MULTIPOINT ((5.807409046945 44.9067814416912))",PAIHABIT0000000007547952,Zone d'habitation,Lieu-dit habité,la croix
"MULTIPOINT ((5.72602099297112 45.0935136409949))",PAIE_NAT0000000007451279,Lieu-dit non habité,Lieu-dit non habité,le saut du moine
"MULTIPOINT ((5.73855064050853 44.9845034156078))",PAIOROGR0000000007456090,Détail orographique,Vallée,draye de la combette
"MULTIPOINT ((5.2768298408944 45.1153370220601))",PAIHABIT0000000007546455,Zone d'habitation,Quartier,pied sec
"MULTIPOINT ((5.81700780556162 45.3463216083218))",PAIHABIT0000000221287405,Zone d'habitation,Quartier,chanfana
"MULTIPOINT ((6.06152561612209 45.0114668978351))",PAIE_NAT0000000007451585,Lieu-dit non habité,Lieu-dit non habité,clapara
"MULTIPOINT ((5.55998519143471 45.1303856586434))",PAIOROGR0000000007455267,Détail orographique,Col,col de la croix perrin
"MULTIPOINT ((5.69619757689594 45.1817408688036))",PAIHABIT0000000007545255,Zone d'habitation,Quartier,mairie
"MULTIPOINT ((5.53869828687561 44.9930748248315))",PAIOROGR0000000007456120,Détail orographique,Sommet,tête des chaudières
"MULTIPOINT ((5.90463488511545 44.855435214832))",PAIOROGR0000000007456919,Détail orographique,Col,col de l'holme
"MULTIPOINT ((5.56156649340614 44.8139976340937))",PAIOROGR0000000007457248,Détail orographique,Versant,plaine de la touche
"MULTIPOINT ((6.26007504479073 44.8845610658775))",PAIOROGR0000000007456654,Détail orographique,Col,col du vallon des étages
"MULTIPOINT ((5.78496877701988 45.114010548358))",PAIHABIT0000000013680102,Zone d'habitation,Lieu-dit habité,aux broux
"MULTIPOINT ((5.97460371465387 44.8393462001492))",PAIHABIT0000002205742856,Zone d'habitation,Lieu-dit habité,les brotinoz
"MULTIPOINT ((5.70050852460415 45.2665418161403))",PAIHABIT0000000007543915,Zone d'habitation,Lieu-dit habité,le bazeau
"MULTIPOINT ((6.14608739769188 44.9954869550287))",PAIE_NAT0000000007451640,Lieu-dit non habité,Lieu-dit non habité,sollaret
"MULTIPOINT ((6.05405630167674 45.432989451477))",PAIHABIT0000000354084715,Zone d'habitation,Lieu-dit habité,le couvat
"MULTIPOINT ((6.05405630167674 45.432989451477))",PAIHABIT0000000354084715,Zone d'habitation,Lieu-dit habité,le couvat et le charret
"MULTIPOINT ((5.79090447878227 45.3886662273482))",PAIE_NAT0000000007448822,Lieu-dit non habité,Bois,l'aliénard
"MULTIPOINT ((6.32436087062771 44.9629011899601))",PAIOROGR0000000007456015,Détail orographique,Pic,pic bourcet
"MULTIPOINT ((5.62803154844706 45.2912606887836))",PAIHABIT0000000007543280,Zone d'habitation,Quartier,brandegaudière
"MULTIPOINT ((5.52907017608592 45.079057323097))",PAIE_NAT0000000007451365,Lieu-dit non habité,Lieu-dit non habité,le peuil
"MULTIPOINT ((5.58498254812359 45.1357359284945))",PAIHABIT0000000007545925,Zone d'habitation,Lieu-dit habité,verduret
"MULTIPOINT ((5.66022647796258 45.2675365881243))",PAIE_NAT0000000007450412,Lieu-dit non habité,Bois,les ouillères
"MULTIPOINT ((5.58615908783371 44.864720067858))",PAIHABIT0000000251097066,Zone d'habitation,Lieu-dit habité,le martinet
"MULTIPOINT ((6.06876888406314 45.0916984401323))",PAIHABIT0000000206282768,Zone d'habitation,Quartier,les ancolies
"MULTIPOINT ((6.09147781177147 45.4401181342293))",PAIHABIT0000000007539479,Zone d'habitation,Lieu-dit habité,avez le plan
"MULTIPOINT ((6.09147781177147 45.4401181342293))",PAIHABIT0000000007539479,Zone d'habitation,Lieu-dit habité,vers le plan
"MULTIPOINT ((5.99895088263235 45.3621420612669))",PAIHABIT0000000226599639,Zone d'habitation,Lieu-dit habité,le fort
"MULTIPOINT ((5.76716448715716 45.0228206952835))",PAIHABIT0000000007547378,Zone d'habitation,Lieu-dit habité,les rochettes
"MULTIPOINT ((5.97578566533113 45.3893135066325))",PAIE_NAT0000000007448806,Lieu-dit non habité,Lieu-dit non habité,le lasson
"MULTIPOINT ((5.97578566533113 45.3893135066325))",PAIE_NAT0000000007448806,Lieu-dit non habité,Lieu-dit non habité,le casson
"MULTIPOINT ((5.63992027224267 45.1898813720697))",PAIE_NAT0000002005869328,Lieu-dit non habité,Lieu-dit non habité,la goyat
"MULTIPOINT ((5.68713717161917 44.9075032131561))",PAIE_NAT0000000007452304,Lieu-dit non habité,Lieu-dit non habité,champ du roux
"MULTIPOINT ((5.90704720918349 45.2053774211118))",PAIHABIT0000000007544740,Zone d'habitation,Ruines,les fontaines
"MULTIPOINT ((5.83297173276006 45.366899112631))",PAIHABIT0000000007541562,Zone d'habitation,Grange,granges du cucheron
